policy,date,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh
0,2025-02-01,93429.28859569615,93429.28859569615,0.0,93429.28859569615,59395.01843862276,0.0,0.0,59395.01843862276,0.0,0.0
0,2025-02-02,93013.98304266117,93013.98304266117,14.969616666666866,93028.95265932784,58750.41665189426,0.0,91.67427611666756,58842.090928010926,0.0,0.0
0,2025-02-03,95562.53238888888,95562.53238888888,47.20604861111076,95609.7384375,60470.27568131819,0.0,180.46629751944312,60650.741978837636,0.0,0.0
0,2025-02-04,97679.91239583332,97679.91239583332,71.72141666666664,97751.63381249999,62395.5796822361,0.0,236.4821256666665,62632.06180790277,0.0,0.0
0,2025-02-05,92742.84375982509,92742.84375982509,236.52665972222283,92979.37041954731,58761.72436063056,0.0,636.9110721645852,59398.63543279514,0.0,0.0
0,2025-02-06,98267.08830138888,98267.08830138888,16.758883333333074,98283.84718472221,62633.72605929402,0.0,90.74860335833225,62724.474662652356,0.0,0.0
0,2025-02-07,94385.3950288923,94385.3950288923,0.0,94385.3950288923,59972.692875450666,0.0,0.0,59972.692875450666,0.0,0.0
0,2025-02-08,86001.55528223576,86001.55528223576,0.0,86001.55528223576,53672.87581746682,0.0,0.0,53672.87581746682,0.0,0.0
0,2025-02-09,93405.08508194443,93405.08508194443,12.103629166666707,93417.1887111111,59036.70783862444,0.0,58.45012367916677,59095.15796230361,0.0,0.0
0,2025-02-10,88767.52914999999,88767.52914999999,34.42862500000024,88801.95777499999,55678.15593494472,0.0,177.0196096250014,55855.17554456972,0.0,0.0
0,2025-02-11,89682.09669125514,89682.09669125514,39.791155555555456,89721.8878468107,56695.34691189259,0.0,98.54476529444423,56793.891677187035,0.0,0.0
0,2025-02-12,89814.88468055555,89814.88468055555,20.74595000000022,89835.63063055555,56505.9492984968,0.0,116.48984622500114,56622.4391447218,0.0,0.0
0,2025-02-13,84346.8667236111,84346.8667236111,31.322450000000117,84378.18917361111,52353.97471950027,0.0,148.6056965416676,52502.580416041936,0.0,0.0
0,2025-02-14,86884.20855190328,86884.20855190328,0.0,86884.20855190328,54108.225898860124,0.0,0.0,54108.225898860124,0.0,0.0
0,2025-02-15,88290.5040494513,88290.5040494513,0.0,88290.5040494513,54966.396657073456,0.0,0.0,54966.396657073456,0.0,0.0
0,2025-02-16,89877.46801388887,89877.46801388887,95.29220555555526,89972.76021944442,56350.59278370708,0.0,491.80302172360916,56842.395805430686,0.0,0.0
