planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,emergency_days,max_daily_emergency_kwh,max_daily_total_cost,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage,strategy,ablation,delta_total_cost_vs_A0,saving_vs_A0,saving_ratio_vs_A0,delta_plan_cost,delta_emergency_cost
25433452.303556427,477446.05741713784,25910898.360973563,15771812.68749251,1837978.999053627,17609791.686546136,6549667.514910343,249,14534.890716666665,96336.73786237057,37021895.28179677,42149719.59308333,37008079.48925,13815.792546773271,0.7847638057218895,baseline,A0,0.0,0.0,0.0,0.0,0.0
25433452.303556427,432947.9881248045,25866400.29168123,15771812.68749251,1545968.201566409,17317780.889058918,6844504.151993181,245,14377.510789506177,94395.78194810566,37021895.28179677,42149719.59308333,37008079.48925,13815.792546773271,0.7847638057218895,causal_mpc,A1,-292010.79748721793,292010.79748721793,0.01658229709271995,0.0,-292010.79748721793
22440690.781645805,394300.6371077388,22834991.418753542,13703131.686815279,1508026.3919561952,15211158.078771474,3556269.214520819,332,11866.096619999998,92389.08169754148,37043215.23744032,38433275.98743481,37008079.48925,35135.74819032155,0.7968230206254159,weekday_corrected,A2,-2398633.607774662,2398633.607774662,0.13621022045406794,-2068681.0006772317,-329952.6070974318
22379234.74708495,442530.6989799218,22821765.44606487,13664678.368594311,1753772.1360175984,15418450.50461191,3546731.505081301,319,18231.673676353224,105862.50211695238,37017491.627599776,38407552.37759427,37008079.48925,9412.138349777146,0.7360695276114438,weekday_trend_corrected,A3,-2191341.1819342263,2191341.1819342263,0.12443879069895011,-2107134.318898199,-84206.86303602858
22286260.964913823,391886.6529338547,22678147.617847677,13597365.646080105,1562060.1181315368,15159425.764211642,3406350.588324205,319,18796.687088338193,108190.2477532181,37001966.95852571,38360462.82123001,37008079.48925,-6112.530724290831,0.7340319361277445,weekday_trend_weighted,A4,-2450365.922334494,2450365.922334494,0.1391479221305367,-2174447.0414124057,-275918.88092209026
22605657.480092667,335632.7088222114,22941290.188914876,13823387.952888105,1265156.3065531119,15088544.259441217,3663678.4811819238,274,15710.589636777724,96048.31532176537,36979339.47240984,39205803.22016216,37008079.48925,-28740.016840160315,0.7754283100465735,residual_equal,A5,-2521247.4271049183,2521247.4271049183,0.14317304099804593,-1948424.7346044052,-572822.6925005151
22379234.74708495,384999.3847309258,22764234.131815873,13664678.368594311,1401497.7576194874,15066176.126213798,3646750.8589105075,308,18679.952740792276,95899.88859611518,37017491.627599776,38407552.37759427,37008079.48925,9412.138349777146,0.7360695276114438,weekday_trend_causal,A6,-2543615.5603323374,2543615.5603323374,0.14444325098267105,-2107134.318898199,-436481.24143413967
22669944.355679993,241098.83950619938,22911043.19518619,13864652.059188703,824631.3021286941,14689283.361317398,3803875.8015521048,267,15781.197057617926,88885.1863587733,36988416.90170463,39264562.16751304,37008079.48925,-19662.587545363524,0.8002120758483033,residual_weighted_causal,A7,-2920508.3252287377,2920508.3252287377,0.16584570545828792,-1907160.6283038072,-1013347.6969249329
21654597.09104291,764220.3053987859,22418817.396441694,13396349.704071565,2740302.797791516,16136652.501863081,3353212.4781643995,326,20961.225767751068,107611.32298626362,36988416.90170463,39264562.16751304,37008079.48925,-19662.587545363524,0.8002120758483033,grid_recourse_residual_causal,A8,-1473139.1846830547,1473139.1846830547,0.08365454917950742,-2375462.9834209457,902323.7987378889
23434867.218074393,614347.095252279,24049214.31332667,14400362.353855064,2385774.082804063,16786136.436659127,4733998.295927513,286,21057.34615602428,114454.98164884059,36495072.50972286,40106940.12564658,37008079.48925,-513006.97952714324,0.7134273120425815,level_scaled,level-scale,-823655.2498870082,823655.2498870082,0.04677257201834364,-1371450.3336374462,547795.0837504358
