date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,96653.21573600822,0.0,96653.21573600822,61767.8950315486,0.0,61767.8950315486,60852.7394563786,raw_equal,113418.56325967741,128283.68279999998,76305.20628333333,37113.356976344076,1.0
2025-02-02,96156.97111049382,13.37651666666659,96170.34762716049,61421.84726548104,83.81870001666618,61505.665965497705,13883.67445596707,raw_equal,111774.01661129031,128144.46983333334,121705.97265000001,-9931.9560387097,0.9861111111111112
2025-02-03,95684.23306707817,15.482799999999884,95699.71586707816,61065.5480039367,33.452585399999755,61099.000589336705,11565.357966666666,raw_equal,111582.04545537634,127944.4038,122603.769,-11021.72354462366,0.9861111111111112
2025-02-04,95690.68906707817,59.50308333333339,95750.1921504115,61068.33829887003,154.59373400000035,61222.932032870034,10417.17744012345,raw_equal,112895.60069032258,127950.85979999999,121578.09884999998,-8682.498159677401,0.9722222222222222
2025-02-05,95703.1811004115,10.173350000000028,95713.3544504115,61077.13889903003,45.95532287500053,61123.094221905034,10854.887413991764,raw_equal,114175.80613494624,127967.38683333332,121991.08443333332,-7815.278298387086,0.9791666666666666
2025-02-06,95327.04245185184,1.2416666666665606,95328.28411851851,60792.32978857352,2.660270833333106,60794.99005940685,11013.728558847732,raw_equal,113992.48244462363,127812.33678333333,122252.1627,-8259.68025537637,0.9652777777777778
2025-02-07,95017.54570185184,0.0,95017.54570185184,60552.29544873684,0.0,60552.29544873684,61639.00686625513,raw_equal,113844.917044086,127662.40911666666,76168.59693333333,37676.32011075267,1.0
2025-02-08,94522.57664115226,0.0,94522.57664115226,60175.93495132911,0.0,60175.93495132911,61545.21698971192,raw_equal,112207.53429516128,127462.28699999998,75746.78751666666,36460.74677849462,1.0
2025-02-09,94087.78614958847,0.0,94087.78614958847,59853.19655268662,0.0,59853.19655268662,10466.172340534975,raw_equal,110564.01311989248,127263.30473333332,121547.90356666665,-10983.890446774167,0.9861111111111112
2025-02-10,93626.70222304526,6.033833333333291,93632.73605637859,59540.1523970473,38.86090358333306,59579.013300630635,15651.646784567893,raw_equal,110385.9900672043,127031.27981666665,121477.56451666665,-11091.57444946235,0.9722222222222222
2025-02-11,93642.42088971194,0.0,93642.42088971194,59554.61683291397,0.0,59554.61683291397,14586.636972222215,raw_equal,111676.01994139786,127046.87733333332,121441.28161666666,-9765.261675268805,0.9861111111111112
2025-02-12,93638.31088971192,0.0,93638.31088971192,59552.99950941397,0.0,59552.99950941397,14580.765138477356,raw_equal,112960.89370430105,127045.16911666666,121363.85288333331,-8402.95917903226,0.9722222222222222
2025-02-13,93029.89110205759,13.575616666666633,93043.46671872426,59074.2387169502,29.063403083333263,59103.302120033535,18293.768650823044,raw_equal,112794.58808870969,126876.53716666666,121310.28371666666,-8515.695627956971,0.9652777777777778
2025-02-14,92706.25444876542,0.0,92706.25444876542,58839.462547793206,0.0,58839.462547793206,61547.426789711935,raw_equal,112611.68240913977,126649.96943333333,75872.63795,36739.04445913977,1.0
2025-02-15,92074.82079999999,0.0,92074.82079999999,58359.109187158334,0.0,58359.109187158334,61432.38787654321,raw_equal,110958.88071021503,126358.16973333334,76054.55224999998,34904.32846021505,1.0
2025-02-16,91402.78283333333,31.468133333333185,91434.25096666666,57838.79427015833,101.71391851666597,57940.508188675,12252.393918518517,raw_equal,109316.64371935483,126075.60308333332,121276.97728333333,-11960.333563978493,0.9375
2025-02-17,90473.85093333332,47.10466666666662,90520.95559999999,57124.26235947833,180.55707487499916,57304.819434353325,15943.809869753086,raw_equal,109138.23123870966,125726.53748333333,120960.37281666664,-11822.14157795698,0.9027777777777778
2025-02-18,90513.33103333334,9.864866666666558,90523.1959,57156.68990087,61.763930199999315,57218.45383107,14931.8112281893,raw_equal,110431.27306505376,125765.26509999999,121331.27123333333,-10899.998168279577,0.9236111111111112
2025-02-19,90518.67093333334,78.50241666666648,90597.17335000001,57163.595087568334,169.03852600833295,57332.63361357667,13971.709762551438,raw_equal,111725.57028225805,125813.94926666666,121866.79411666666,-10141.223834408607,0.8611111111111112
2025-02-20,89829.58859999999,64.78703333333351,89894.37563333331,56642.971880255,315.61974039999996,56958.591620654995,15366.198240946498,raw_equal,111585.43956935484,125563.72018333332,121105.25703333333,-9519.817463978485,0.8958333333333334
2025-02-21,88935.92438045268,0.0,88935.92438045268,55992.13640201148,0.0,55992.13640201148,62024.97724650205,raw_equal,111409.29733978494,125210.20478333332,75802.00203333332,35607.29530645162,1.0
2025-02-22,88494.81301872428,0.0,88494.81301872428,55663.607694702034,0.0,55663.607694702034,59246.98734382716,raw_equal,109798.06689301075,124858.93881666668,75682.24226666667,34115.82462634408,1.0
2025-02-23,87452.55519958847,68.40233333333379,87520.9575329218,54868.66912549592,149.15308338333432,55017.82220887925,12274.098215020573,raw_equal,108152.99120645161,124487.13459999999,121142.14093333331,-12989.149726881704,0.8611111111111112
2025-02-24,86608.60791810698,50.66810000000032,86659.27601810698,54256.42418483924,226.02858421666815,54482.45276905591,15048.458338065833,raw_equal,107984.82055430106,124158.91438333332,120628.98855000001,-12644.167995698954,0.8541666666666666
2025-02-25,86645.18386810698,51.747767283950566,86696.93163539092,54289.061239237584,119.70712496080223,54408.76836419839,17629.14678641974,raw_equal,109284.48032365591,124209.3247,121093.33288333332,-11808.852559677413,0.8680555555555556
2025-02-26,86667.06093477365,37.738950000000045,86704.79988477365,54308.76912856592,144.43046260000003,54453.19959116592,14515.742023456783,raw_equal,110589.68253655914,124246.55834999998,121060.73411666666,-10471.051580107523,0.8402777777777778
2025-02-27,85880.65968065843,61.565749999999866,85942.22543065842,53729.84352315351,371.62611424999943,54101.46963740351,15295.706221193412,raw_equal,110417.9304548387,124006.6673,120599.48893333333,-10181.558478494626,0.8472222222222222
2025-02-28,85236.06511954733,0.0,85236.06511954733,53302.87593196018,0.0,53302.87593196018,60512.100810905344,raw_equal,110255.2381548387,123727.64841666666,75385.10794999999,34870.130204838715,1.0
2025-03-01,84118.42793353909,0.0,84118.42793353909,52514.5530062187,0.0,52514.5530062187,58967.75702263374,raw_equal,108606.47999408602,123340.94676666668,72244.16015,36362.31984408603,1.0
2025-03-02,83323.02247530864,1531.4538432098768,84854.47631851851,51957.22010986357,5403.4205914237655,57360.64070128734,8576.92362160493,raw_equal,106890.95468064515,123000.59644999998,117860.41708333333,-10969.46240268818,0.8611111111111112
2025-03-03,82631.04945761318,138.51653333333218,82769.5659909465,51489.86623930275,426.24568309166136,51916.11192239441,6670.487626954735,raw_equal,106628.03103978492,122715.56138333332,117958.74559999998,-11330.714560215056,0.8402777777777778
2025-03-04,82790.65269588477,124.65826666666658,82915.31096255143,51608.460580346706,266.1771436749998,51874.637724021704,9989.745331069957,raw_equal,107852.18670483868,122782.1331,118139.02498333334,-10286.838278494659,0.8541666666666666
2025-03-05,82840.94879588476,43.29756666666678,82884.24636255142,51647.52199369337,108.34002580000009,51755.86201949337,13288.049125720161,raw_equal,109201.66472741934,122856.55075,118073.44383333332,-8871.779105913985,0.8680555555555556
2025-03-06,82228.74032777776,136.2120333333337,82364.95236111109,51201.25957647388,491.0767992666682,51692.336375740546,13022.726011111108,raw_equal,109084.4863784946,122793.46291666666,117673.59855,-8589.112171505389,0.8680555555555556
2025-03-07,81422.11849290122,0.0,81422.11849290122,50638.05493399181,0.0,50638.05493399181,59101.66445853909,raw_equal,108925.44862204301,122634.92440000002,71680.36145,37245.087172043015,1.0
2025-03-08,80513.91427710699,0.0,80513.91427710699,49980.18627145425,0.0,49980.18627145425,60009.77005390946,raw_equal,107315.84418978493,122494.74991666667,72344.71158333334,34971.13260645159,1.0
2025-03-09,79813.498549,83.54040000000009,79897.038949,49458.52112995919,511.1614640000009,49969.682593959194,13051.244605584357,raw_equal,105714.34829139782,122351.70253333333,117692.9865,-11978.638208602177,0.9097222222222222
2025-03-10,78998.32550649998,496.9180185185179,79495.24352501851,48886.308570856025,1121.6878100592578,50007.99638091528,7708.519811522625,raw_equal,105567.27809139783,122134.7248,117943.06436666667,-12375.786275268838,0.7986111111111112
2025-03-11,79223.71904816666,83.15189999999961,79306.87094816666,49000.341869006035,184.81409165833182,49185.155960664364,11963.138515432096,raw_equal,106914.84155698924,122205.0204,117499.55295,-10584.711393010759,0.875
2025-03-12,79253.66001483332,173.86610000000064,79427.52611483332,49015.379603721034,481.97321220000265,49497.35281592104,13637.845239506176,raw_equal,108261.70495806451,122257.32095,118112.23683333334,-9850.531875268833,0.8402777777777778
2025-03-13,78456.49393416666,372.82443333333265,78829.31836749999,48425.7344210315,1474.332709874993,49900.06713090649,7496.384363991766,raw_equal,108150.87699892472,122107.05656666665,118237.27704999999,-10086.400051075267,0.7708333333333334
2025-03-14,78183.01664433333,0.0,78183.01664433333,48175.26979713213,0.0,48175.26979713213,60549.18128312757,raw_equal,108046.35159677418,121986.28845,72108.86895,35937.48264677418,1.0
2025-03-15,77517.06644183333,9.053333333333399,77526.11977516666,47697.61567182085,19.356026666666803,47716.97169848752,54973.693651709866,raw_equal,106454.98344623654,121728.06141666666,72724.98178333332,33730.00166290322,0.9930555555555556
2025-03-16,76964.134511,115.93041666666636,77080.06492766667,47260.21496495443,465.598698074999,47725.81366302943,10180.128865843624,raw_equal,104885.98760430107,121524.77491666668,117983.21598333333,-13097.228379032254,0.8611111111111112
2025-03-17,76574.1944425,60.27814999999987,76634.4725925,46976.850933400914,170.72300980833288,47147.573943209245,15475.981686625513,raw_equal,104778.66283870966,121264.62333333332,117693.6218,-12914.958961290336,0.8611111111111112
2025-03-18,76606.50374249999,81.03978133333305,76687.54352383333,46996.20210130758,235.68788619366558,47231.88998750124,11843.47999876543,raw_equal,106127.72683387095,121320.01159999998,117253.42358333334,-11125.696749462382,0.8819444444444444
2025-03-19,76627.2480425,41.35934999999995,76668.6073925,47007.587442342585,98.73683899166599,47106.32428133425,13520.941538271603,raw_equal,107456.72268333333,121357.80913333333,117281.55799999999,-9824.835316666664,0.8958333333333334
2025-03-20,76168.54896666665,121.91285000000119,76290.46181666666,46674.54489863833,471.94649200000856,47146.49139063834,10409.812289506166,raw_equal,107327.83819032258,121166.69788333334,117648.38173333334,-10320.543543010761,0.8611111111111112
2025-03-21,75815.07044135801,0.0,75815.07044135801,46441.604003953384,0.0,46441.604003953384,62059.091093827155,raw_equal,107220.99976827957,120942.69989999998,72593.53221666667,34627.46755161289,1.0
2025-03-22,75099.75872695472,9.078333333333376,75108.83706028806,45960.19100168183,19.409476666666755,45979.6004783485,57574.51813127572,raw_equal,105648.81463870968,120673.7666,71936.92953333333,33711.88510537635,0.9930555555555556
2025-03-23,74302.08422962963,95.60838333333322,74397.69261296297,45361.90326150907,333.76177184166625,45695.665033350735,11950.253591563785,raw_equal,104038.17384569891,120186.16159999999,117739.97726666667,-13701.803420967757,0.7847222222222222
2025-03-24,73582.44741460905,177.21718333333342,73759.66459794238,44900.766461101375,443.9909423416666,45344.75740344304,12101.060925720161,raw_equal,103929.61643387098,119896.8089666667,117425.17061666667,-13495.554182795691,0.8333333333333334
2025-03-25,73615.16813127571,150.45830833333298,73765.62643960904,44915.971826428045,319.6228030999992,45235.594629528045,9016.929340329218,raw_equal,105272.29929139782,119967.39366666666,118053.16781666667,-12780.868525268845,0.7222222222222222
2025-03-26,73856.0850845679,103.38581666666619,73959.47090123456,45071.071419032654,223.81177389999903,45294.883192932655,14796.708825308644,raw_equal,106639.10334139784,120082.17293333334,117704.62780000002,-11065.524458602173,0.7847222222222222
2025-03-27,73039.61354362138,191.73371666666662,73231.34726028805,44541.399220513864,413.0929557083333,44954.4921762222,10921.661731069958,raw_equal,106528.21582096774,119888.45873333333,117952.59836666666,-11424.382545698914,0.7569444444444444
2025-03-28,72674.99405596706,0.0,72674.99405596706,44297.860221132214,0.0,44297.860221132214,60189.46350390946,raw_equal,106441.88065376344,119732.01811666666,71891.76726666666,34550.113387096775,1.0
2025-03-29,72188.71290020575,0.0,72188.71290020575,43939.06594072582,0.0,43939.06594072582,62842.44287530863,raw_equal,104854.73337580643,119467.51393333334,72118.27746666667,32736.455909139768,1.0
