date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,56494.92216807815,1447.0865262241173,57942.00869430227,31482.405548259634,4945.439149478483,36427.84469773812,20749.73454823515,residual_weighted,88205.4318011949,95585.98825975126,76305.20628333333,11900.225517861574,1.0
2025-02-02,87969.49255292997,155.7238449603032,88125.21639789027,55443.86475445726,367.49639783845583,55811.361152295714,5541.326932063706,residual_weighted,118430.05103692939,125793.49330688192,121705.97265000001,-3275.921613070619,0.9097222222222222
2025-02-03,86730.22854980887,970.2145777189323,87700.4431275278,54551.358872837474,3873.565778486103,58424.92465132358,3281.3861117253045,residual_weighted,119724.53073632493,126532.04228937408,122603.769,-2879.23826367507,0.9097222222222222
2025-02-04,87766.78628337702,1390.6801361037105,89157.46641948073,55285.62933933806,4914.644186007627,60200.27352534569,3477.926191986296,residual_weighted,121429.6451131422,127572.91014514552,121578.09884999998,-148.45373685777304,0.9444444444444444
2025-02-05,87872.23386972724,3481.5879317434765,91353.82180147071,55552.79356045382,14724.075572535483,70276.8691329893,6608.465325972219,residual_weighted,122031.1140898332,127713.08230381775,121991.08443333332,40.029656499871635,0.9652777777777778
2025-02-06,88863.98752657836,1752.8514524863006,90616.83897906466,56413.20808405662,6291.894300736107,62705.10238479273,6183.031458805698,residual_weighted,122462.43078006124,128012.51747641685,122252.1627,210.26808006124338,0.9444444444444444
2025-02-07,56315.85445911468,265.3121104676726,56581.166569582354,31574.75303462435,1575.8990236059938,33150.65205823034,21964.33590288086,residual_weighted,89203.79984794646,95784.60733269708,76168.59693333333,13035.202914613124,1.0
2025-02-08,51722.33784137174,1168.6875771272446,52891.02541849898,28521.410704243033,5067.503112534232,33588.91381677726,18474.095213164743,residual_weighted,84237.44275149363,91380.53031862325,75746.78751666666,8490.655234826962,1.0
2025-02-09,81788.86190613257,4270.602392760582,86059.46429889316,50954.70949484936,14931.816534349626,65886.52602919898,2112.823399564047,residual_weighted,114604.06903829894,121532.12087172075,121547.90356666665,-6943.8345283677045,0.5138888888888888
2025-02-10,84457.93038245273,313.55801404211036,84771.48839649484,52926.24400050302,738.8850555018973,53665.12905600492,6550.8321674476365,residual_weighted,116872.4218207121,123628.02504650585,121477.56451666665,-4605.14269595455,0.7152777777777778
2025-02-11,85042.99033766126,1031.3695196727147,86074.35985733398,53363.46880692986,3928.6031414108966,57292.07194834075,6869.278459343322,residual_weighted,118202.70678846701,124570.52816161067,121441.28161666666,-3238.5748281996493,0.8541666666666666
2025-02-12,84434.89943211919,1110.9643994584794,85545.86383157766,53030.35857602959,4302.730428753119,57333.08900478271,6285.6178110486135,residual_weighted,119393.00834216028,125303.98638826092,121363.85288333331,-1970.8445411730354,0.8888888888888888
2025-02-13,83776.77435770855,801.603798371578,84578.37815608013,52816.79445296705,2912.4839013220817,55729.278354289134,9735.275375606125,residual_weighted,120284.24419659901,125846.34597837712,121310.28371666666,-1026.039520067643,0.8680555555555556
2025-02-14,50166.23420822311,1059.0626278172153,51225.296836040325,27923.923725860266,4126.2612772641805,32050.185003124447,18615.272412800387,residual_weighted,87178.66020730132,93718.57398738418,75872.63795,11306.022257301316,1.0
2025-02-15,45686.19185438733,855.4999671813289,46541.69182156866,25159.13569971962,3114.7351344656927,28273.870834185313,14334.082303140138,residual_weighted,82648.96208077538,89640.09487427196,76054.55224999998,6594.409830775403,0.9930555555555556
2025-02-16,76383.10580020383,3700.9829558303595,80084.0887560342,47037.97921747617,12374.32222203254,59412.30143950871,306.5991949230893,residual_weighted,113384.1804848948,120066.78590609602,121276.97728333333,-7892.796798438532,0.3680555555555556
