date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,77196.29677859053,57.124166666666724,77253.4209452572,47049.07233193962,122.13146833333344,47171.20380027295,38379.93802083333,level_scaled,99145.13490748289,109046.00151749999,76305.20628333333,22839.928624149557,0.9930555555555556
2025-02-02,86965.86510853095,1117.9999456642513,88083.86505419521,54331.943047797075,5301.222040434377,59633.16508823145,5009.25377086188,level_scaled,109609.86227822531,119087.5221276177,121705.97265000001,-12096.110371774703,0.22916666666666666
2025-02-03,90534.35292122368,476.7508773591558,91011.10379858283,57104.231836849896,2026.5130106792901,59130.74484752919,6059.499778449545,level_scaled,112275.70712865688,123050.57924126224,122603.769,-10328.061871343118,0.5555555555555556
2025-02-04,93938.39254466313,106.50414759962274,94044.89669226276,59722.46103880425,384.22942018429995,60106.69045898855,8074.843961064806,level_scaled,115502.40637807883,126495.46417209384,121578.09884999998,-6075.692471921153,0.9583333333333334
2025-02-05,95816.10304918115,6.139417026157616,95822.24246620732,61173.84751684956,22.462486993461415,61196.31000384302,10276.6101735863,level_scaled,117824.20406510677,128393.71820447943,121991.08443333332,-4166.880368226557,0.9791666666666666
2025-02-06,97293.86321496678,0.0,97293.86321496678,62321.92731545561,0.0,62321.92731545561,12218.003665453125,level_scaled,119052.22331609666,130065.22529109028,122252.1627,-3199.9393839033437,1.0
2025-02-07,75654.75290335457,0.0,75654.75290335457,45946.00350808864,0.0,45946.00350808864,39391.795264383385,level_scaled,100687.74337029395,108523.04626521673,76168.59693333333,24519.14643696061,1.0
2025-02-08,75173.51910591562,14.818916666666723,75188.33802258229,45606.91373142281,31.682843833333454,45638.59657525614,39169.3316775,level_scaled,97297.1121270854,108345.52228333332,75746.78751666666,21550.324610418742,0.9930555555555556
2025-02-09,82641.86840397965,3101.213391791772,85743.08179577142,51105.6723791377,12550.023574917259,63655.69595405496,1524.6066260207826,level_scaled,107144.66039349299,116117.2885330967,121547.90356666665,-14403.243173173658,0.04861111111111111
2025-02-10,87470.83664369106,609.6995952526943,88080.53623894375,54768.96127759521,2668.2757905803237,57437.237068175535,9036.339499901045,level_scaled,110601.67966997347,121202.36223645492,121477.56451666665,-10875.884846693181,0.4791666666666667
2025-02-11,90669.33771531042,68.88938791184853,90738.22710322228,57256.48765518646,392.6142755970818,57649.10193078354,10799.296636555608,level_scaled,113668.19952463199,124461.14714010282,121441.28161666666,-7773.082092034674,0.8680555555555556
2025-02-12,93220.9522989929,7.397566945217932,93228.34986593811,59236.317556544716,41.88530759389795,59278.20286413861,13224.913789095186,level_scaled,116452.45710581113,127097.98998353964,121363.85288333331,-4911.395777522179,0.9791666666666666
2025-02-13,94675.24881993717,0.0,94675.24881993717,60368.894814787665,0.0,60368.894814787665,18599.278236891896,level_scaled,117856.6422531693,129006.83141976644,121310.28371666666,-3453.6414634973626,1.0
2025-02-14,73545.87024180495,0.0,73545.87024180495,44435.06220148231,0.0,44435.06220148231,39342.40175847162,level_scaled,99670.63111682821,107680.4946851383,75872.63795,23797.993166828208,1.0
2025-02-15,72941.2771525,29.893916666666655,72971.17106916667,43986.2298646805,63.9131938333333,44050.14305851383,39289.41330249999,level_scaled,96328.70880577448,107416.48452333333,76054.55224999998,20274.156555774505,0.9930555555555556
