date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,60949.86811612788,0.0,60949.86811612788,34126.49084610942,0.0,34126.49084610942,22476.4960815807,residual_equal,89308.41669213465,97469.83324005951,76305.20628333333,13003.210408801315,1.0
2025-02-02,90010.7737388851,143.40725581026356,90154.18099469536,56484.43675435646,815.0520986082046,57299.48885296466,7087.716213743177,residual_equal,118037.94325204252,125880.17595110783,121705.97265000001,-3668.0293979574926,0.9236111111111112
2025-02-03,90276.99224137528,143.30716468829945,90420.29940606358,56807.62000626785,526.6518629501186,57334.27186921796,5522.33977900647,residual_equal,119431.32602761599,127157.38448278309,122603.769,-3172.442972384015,0.9513888888888888
2025-02-04,91600.46144786534,533.9561642548437,92134.41761212019,57857.61935849718,2120.412140247628,59978.03149874481,6257.225292211251,residual_equal,122241.96572156677,128457.97544287762,121578.09884999998,663.8668715667882,0.9722222222222222
2025-02-05,92312.18568737037,238.89351898282055,92551.07920635318,58503.68129022773,692.4283609697259,59196.109651197454,7106.359536821557,residual_equal,123510.11371684031,129097.14939442703,121991.08443333332,1519.029283506985,0.9930555555555556
2025-02-06,92482.79243935639,21.25110831110294,92504.04354766749,58739.675694866586,84.00673808177092,58823.68243294836,7529.1489826218785,residual_equal,123147.15099772112,129158.10931736548,122252.1627,894.9882977211237,0.9791666666666666
2025-02-07,60030.021579789056,0.0,60030.021579789056,33683.58428011951,0.0,33683.58428011951,24116.765077274475,residual_equal,90845.43125226785,96985.13104421688,76168.59693333333,14676.834318934518,1.0
2025-02-08,55011.718563790346,0.0,55011.718563790346,30264.6331222735,0.0,30264.6331222735,19374.599521803582,residual_equal,85935.17847910826,92439.40171915005,75746.78751666666,10188.390962441597,1.0
2025-02-09,84039.22076884747,1881.6616701713308,85920.88243901881,52224.41259602042,6772.850813647821,58997.26340966824,1758.852683560211,residual_equal,114940.05836671586,121731.34620370246,121547.90356666665,-6607.8451999507815,0.5347222222222222
2025-02-10,86493.2998270101,225.11080442539208,86718.41063143549,54078.20506125307,965.4204074879779,55043.62546874105,7741.969632880055,residual_equal,116921.16498669291,123825.71490489262,121477.56451666665,-4556.3995299737435,0.75
2025-02-11,87133.69075766492,50.985401076163384,87184.67615874109,54581.26249935459,255.7999882737624,54837.062487628355,7311.662631022598,residual_equal,118459.64852350707,124974.21847715686,121441.28161666666,-2981.6330931595876,0.9305555555555556
2025-02-12,86828.09544646929,134.664976705826,86962.76042317512,54458.85182413642,614.8304085337444,55073.682232670166,7062.089252603619,residual_equal,119778.59712683735,125974.10399690559,121363.85288333331,-1585.255756495957,0.9583333333333334
2025-02-13,86312.40148038266,52.80895568787798,86365.21043607054,54258.86088414595,113.51481265323477,54372.37569679919,10395.60547649108,residual_equal,120455.01090949234,126558.24214437832,121310.28371666666,-855.2728071743186,0.9305555555555556
2025-02-14,53615.587898862286,0.0,53615.587898862286,29735.354207952114,0.0,29735.354207952114,19743.57402009314,residual_equal,88577.3838200369,94594.54780448816,75872.63795,12704.745870036902,1.0
2025-02-15,49486.57000646787,0.0,49486.57000646787,26963.011698889895,0.0,26963.011698889895,16194.218978780234,residual_equal,84155.13090181674,90508.32498690559,76054.55224999998,8100.578651816759,1.0
2025-02-16,78008.6196776795,2992.0658224632148,81000.68550014272,47890.72315302311,11554.750123464859,59445.473276487966,1209.5343673236357,residual_equal,113418.5661912727,120007.39971868237,121276.97728333333,-7858.411092060633,0.3402777777777778
2025-02-17,79727.94576660162,519.2407550036824,80247.18652160531,49245.46006539236,1970.064385331275,51215.524450723635,4659.565210652267,residual_equal,115340.16355919158,122051.34740486713,120960.37281666664,-5620.209257475057,0.6319444444444444
2025-02-18,80647.73225477239,240.3915637537496,80888.12381852613,49966.68173041737,918.7082194216113,50885.38994983898,4393.685823453832,residual_equal,116954.77095749733,123338.0880959016,121331.27123333333,-4376.500275836006,0.7430555555555556
