date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,58931.906090413686,0.0,58931.906090413686,32726.480395622657,0.0,32726.480395622657,21717.78145933454,residual_weighted,88205.4318011949,95585.98825975126,76305.20628333333,11900.225517861574,1.0
2025-02-02,89752.52316557174,86.43146869573832,89838.95463426747,56296.5410963463,444.0349955808515,56740.57609192715,7217.709293024831,residual_weighted,118430.05103692939,125793.49330688192,121705.97265000001,-3275.921613070619,0.9097222222222222
2025-02-03,88749.95468274862,275.37626083592227,89025.33094358454,55725.70032240185,936.4354427235871,56662.13576512544,4532.114295793819,residual_weighted,119724.53073632493,126532.04228937408,122603.769,-2879.23826367507,0.9097222222222222
2025-02-04,90216.28087174258,927.0543959248939,91143.33526766747,56787.85441383616,3242.2004247045907,60030.05483854075,5518.52925329258,residual_weighted,121429.6451131422,127572.91014514552,121578.09884999998,-148.45373685777304,0.9444444444444444
2025-02-05,90405.87161722135,227.63047802653352,90633.50209524788,57095.61442973277,564.0962118634891,57659.71064159626,5485.124212074166,residual_weighted,122031.1140898332,127713.08230381775,121991.08443333332,40.029656499871635,0.9652777777777778
2025-02-06,91096.28094245067,58.714600120317755,91154.99554257099,57700.61877021512,157.95228040124695,57858.57105061637,6665.991922968383,residual_weighted,122462.43078006124,128012.51747641685,122252.1627,210.26808006124338,0.9444444444444444
2025-02-07,58734.02194745204,0.0,58734.02194745204,32815.58805657136,0.0,32815.58805657136,24039.36009300624,residual_weighted,89203.79984794646,95784.60733269708,76168.59693333333,13035.202914613124,1.0
2025-02-08,53921.78011157058,0.0,53921.78011157058,29556.9438537607,0.0,29556.9438537607,19388.447592352273,residual_weighted,84237.44275149363,91380.53031862325,75746.78751666666,8490.655234826962,1.0
2025-02-09,83900.50325616598,1476.212917358048,85376.71617352402,52176.207091578646,4524.176935647638,56700.38402722628,1208.6655467750593,residual_weighted,114604.06903829894,121532.12087172075,121547.90356666665,-6943.8345283677045,0.5138888888888888
2025-02-10,86356.27555517544,167.11169957227435,86523.38725474771,53991.57483790802,561.9167544766538,54553.49159238467,8245.962077629312,residual_weighted,116872.4218207121,123628.02504650585,121477.56451666665,-4605.14269595455,0.7152777777777778
2025-02-11,87121.84854352457,7.803453884318515,87129.65199740889,54553.92442751305,16.995185031387486,54570.919612544436,7782.350952426339,residual_weighted,118202.70678846701,124570.52816161067,121441.28161666666,-3238.5748281996493,0.8541666666666666
2025-02-12,86218.57667534231,149.0757423847941,86367.6524177271,54004.64521839685,580.5369477038566,54585.182166100705,7022.0721635574955,residual_weighted,119393.00834216028,125303.98638826092,121363.85288333331,-1970.8445411730354,0.8888888888888888
2025-02-13,85667.98259608333,95.63087154289303,85763.61346762622,53803.125770530794,206.090858382866,54009.21662891366,10750.488221787635,residual_weighted,120284.24419659901,125846.34597837712,121310.28371666666,-1026.039520067643,0.8680555555555556
2025-02-14,52477.38939638526,0.0,52477.38939638526,28974.983115744926,0.0,28974.983115744926,19750.844524285363,residual_weighted,87178.66020730132,93718.57398738418,75872.63795,11306.022257301316,1.0
2025-02-15,48173.24756433724,0.0,48173.24756433724,26237.75328227958,0.0,26237.75328227958,15890.45705713559,residual_weighted,82648.96208077538,89640.09487427196,76054.55224999998,6594.409830775403,0.9930555555555556
