date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,52412.82348039094,2.047136851851974,52414.87061724279,27611.33520783956,9.591859719352424,27620.92706755891,13954.986648148142,weekday_corrected,81302.40547502985,84107.63450370368,76305.20628333333,4997.19919169652,0.9930555555555556
2025-02-02,98092.18923773205,6.837166666666349,98099.02640439871,62868.57549246657,21.346229249998792,62889.921721716564,14913.052292222226,weekday_corrected,126733.24496034646,129722.91019907407,121705.97265000001,5027.272310346452,0.9861111111111112
2025-02-03,97992.14471271833,0.0,97992.14471271833,62773.28174300141,0.0,62773.28174300141,12939.813697037041,weekday_corrected,126610.94078158302,129686.59926481482,122603.769,4007.1717815830198,1.0
2025-02-04,98040.83122889117,54.755857037037,98095.5870859282,62736.931006157334,116.71231843555549,62853.64332459289,12069.488819629634,weekday_corrected,126777.2158861589,129929.57892222221,121578.09884999998,5199.1170361589175,0.9861111111111112
2025-02-05,97834.06677761316,14.5603100000003,97848.62708761316,62621.44277942476,90.98234544500187,62712.42512486976,12281.926855000002,weekday_corrected,126585.6807945699,129801.32182666667,121991.08443333332,4594.596361236574,0.9861111111111112
2025-02-06,97980.92419625513,0.0,97980.92419625513,62785.71803346863,0.0,62785.71803346863,12889.299675000002,weekday_corrected,126729.50740704301,130051.21429666667,122252.1627,4477.344707043012,1.0
2025-02-07,51718.95994995884,5.848331666666638,51724.808281625505,27135.389547030667,36.27524779166649,27171.664794822333,15831.601949999995,weekday_corrected,80816.18993935482,84211.42609666665,76168.59693333333,4647.593006021489,0.9861111111111112
2025-02-08,50321.934770329215,20.14595500000013,50342.080725329215,26300.517873247612,136.6453195350009,26437.163192782613,14699.699363333328,weekday_corrected,79531.45839258064,83046.25837499999,75746.78751666666,3784.670875913973,0.9791666666666666
2025-02-09,95849.7158893004,41.39762999999982,95891.1135193004,61148.41519710542,102.00469140499956,61250.41988851042,11539.336725000003,weekday_corrected,124969.82069327957,128593.4327,121547.90356666665,3421.917126612927,1.0
2025-02-10,96117.92650197531,12.57309499999974,96130.4995969753,61316.627600455366,84.10730459749836,61400.734905052865,17002.901390000006,weekday_corrected,125271.26996553762,129009.73543166668,121477.56451666665,3793.705448870969,0.9791666666666666
2025-02-11,95469.9739323251,6.255166666666696,95476.22909899177,60786.961177717225,29.308583416666806,60816.269761133895,15495.751228333334,weekday_corrected,124991.93140747311,128748.41157333332,121441.28161666666,3550.6497908064484,0.9861111111111112
2025-02-12,95408.22548512346,3.6340000000003556,95411.85948512347,60767.062412030675,22.946137083335614,60790.00854911401,15392.561653333338,weekday_corrected,124993.31871327957,128769.45423833333,121363.85288333331,3629.465829946261,0.9861111111111112
2025-02-13,95399.90003716049,2.651239999999916,95402.5512771605,60802.229450023544,17.882613799999433,60820.112063823544,19323.915608333336,weekday_corrected,125200.45164021503,129024.16475333332,121310.28371666666,3890.1679235483753,0.9791666666666666
2025-02-14,49373.784235041145,7.962724999999921,49381.74696004114,25758.96100670216,42.76779597499958,25801.72880267716,15522.358324999994,weekday_corrected,79169.9936202688,83085.56172666667,75872.63795,3297.355670268793,0.9861111111111112
2025-02-15,48146.826713559654,54.03273500000034,48200.859448559655,25048.68048844191,312.3864283866683,25361.06691682858,14877.61307166666,weekday_corrected,77964.72637005374,81902.49052166665,76054.55224999998,1910.1741200537654,0.9652777777777778
2025-02-16,93179.88007037037,18.641579999999635,93198.52165037037,59140.41821713954,116.66193627666433,59257.0801534162,13081.630163333337,weekday_corrected,123545.74622435485,127367.88753666666,121276.97728333333,2268.7689410215244,0.9583333333333334
2025-02-17,93081.02912995884,39.03176999999994,93120.06089995884,58993.52732783349,247.1488631399998,59240.67619097349,17200.327798333332,weekday_corrected,123667.46921892473,127445.72750333331,120960.37281666664,2707.0964022580883,0.9722222222222222
2025-02-18,92462.01727220163,8.266196666666588,92470.28346886829,58577.380818192716,27.81239775833238,58605.19321595105,15654.372198333334,weekday_corrected,123444.27666440858,127225.51677666666,121331.27123333333,2113.0054310752457,0.9513888888888888
2025-02-19,92045.10717703702,81.97677999999974,92127.08395703702,58324.85890200053,330.94544719499913,58655.80434919553,14528.432795,weekday_corrected,123382.44876892472,127110.18665333332,121866.79411666666,1515.654652258061,0.9305555555555556
2025-02-20,91621.67545333333,74.68437666666614,91696.35983,58003.617323059996,311.73532251999734,58315.352645579995,15984.892763333335,weekday_corrected,123496.68131655912,127084.23439833333,121105.25703333333,2391.424283225788,0.9375
2025-02-21,45786.72383979423,112.81267000000014,45899.53650979423,23767.10606077807,557.0218617541676,24324.12792253224,16369.96810166666,weekday_corrected,77667.25114354838,81195.93644833332,75802.00203333332,1865.2491102150525,0.8888888888888888
2025-02-22,44767.06931355967,76.07983666666684,44843.14915022633,23243.24550160368,344.0737346008341,23587.319236204516,13103.813459999992,weekday_corrected,76886.65165887095,80374.61874833333,75682.24226666667,1204.4093922042812,0.9166666666666666
2025-02-23,89282.85401502057,118.00923333333333,89400.8632483539,56330.07887782437,483.6615888166656,56813.74046664104,13167.751411666668,weekday_corrected,122327.61472091399,125707.86405833333,121142.14093333331,1185.473787580675,0.8958333333333334
2025-02-24,88651.110808786,80.91577833333349,88732.02658711934,55808.41933107931,425.1387845058343,56233.55811558515,15854.965281666668,weekday_corrected,122241.68056715054,125439.77286499998,120628.98855000001,1612.6920171505335,0.9166666666666666
2025-02-25,88325.81599893003,133.04806833333294,88458.86406726336,55596.9058519064,516.4749276333316,56113.38077953973,17963.943763333336,weekday_corrected,122243.88939021504,125345.51920500002,121093.33288333332,1150.5565068817232,0.8958333333333334
2025-02-26,88106.7132365432,25.34431666666694,88132.05755320987,55443.06975503261,117.9949759108348,55561.06473094344,14660.322970000001,weekday_corrected,122352.45172392472,125306.27567333332,121060.73411666666,1291.7176072580623,0.8888888888888888
2025-02-27,87416.34433288066,34.93732333333321,87451.28165621399,54952.939394358684,180.8044949416659,55133.74388930035,15853.640745000004,weekday_corrected,122080.21945844086,125003.26031,120599.48893333333,1480.7305251075304,0.9305555555555556
2025-02-28,42022.36820763374,74.25208333333325,42096.620290967076,21722.78841214927,300.5317577258327,22023.320169875104,14891.213729999996,weekday_corrected,76476.99198139783,79320.62511333331,75385.10794999999,1091.8840313978435,0.8819444444444444
2025-03-01,40957.32605999999,85.58042499999999,41042.90648499999,21247.88066905966,430.9848608574997,21678.865529917162,13563.244552433329,weekday_corrected,75955.58920155914,78731.77449333333,72244.16015,3711.429051559142,0.9097222222222222
2025-03-02,85914.7714996502,1046.327809999999,86961.0993096502,53831.653191306206,4240.376621759994,58072.0298130662,9985.819838333333,weekday_corrected,121413.17574876345,124236.62607333333,117860.41708333333,3552.758665430112,0.8958333333333334
2025-03-03,85678.70872652263,174.27990333333315,85852.98862985596,53617.706190945406,860.590690533332,54478.29688147874,9216.460965000002,weekday_corrected,121165.00449817204,124066.78185500001,117958.74559999998,3206.258898172062,0.9027777777777778
2025-03-04,85448.35195882716,133.7928416666665,85582.14480049383,53463.24044865706,358.6442720841669,53821.884720741225,11765.242236666669,weekday_corrected,121344.56413634408,124319.46634333332,118139.02498333334,3205.5391530107445,0.875
2025-03-05,85262.02140339506,48.09331999999995,85310.11472339506,53286.76337904093,253.64841890000002,53540.41179794093,14588.771273333334,weekday_corrected,121587.2963606989,124624.04765666668,118073.44383333332,3513.8525273655832,0.9027777777777778
2025-03-06,84704.6268958642,79.92990666666674,84784.55680253087,52954.784869396884,303.97272386416785,53258.75759326105,14242.129611666669,weekday_corrected,121252.49446817204,124419.02097666665,117673.59855,3578.895918172042,0.8888888888888888
2025-03-07,39855.156781584345,82.5282516666669,39937.685033251015,20531.267793945502,242.62632540666712,20773.89411935217,15219.978283333327,weekday_corrected,75926.00983478493,79141.42451833331,71680.36145,4245.64838478493,0.9097222222222222
2025-03-08,38035.660144670765,63.982158333333416,38099.6423030041,19790.760529820618,189.36315878166678,19980.123688602285,15396.88940666666,weekday_corrected,74714.81170075267,78034.08783333332,72344.71158333334,2370.100117419337,0.9236111111111112
2025-03-09,82077.06306175925,128.83168,82205.89474175926,51140.53146888233,731.0629919258341,51871.59446080816,14453.120360000004,weekday_corrected,120246.84551553763,123581.27340166667,117692.9865,2553.8590155376296,0.9236111111111112
2025-03-10,81506.57499413745,591.841183333334,82098.41617747079,50714.05573467276,1816.1291538950022,52530.18488856776,9647.161373333336,weekday_corrected,120064.03889505375,123428.13347166668,117943.06436666667,2120.9745283870725,0.8958333333333334
2025-03-11,81718.49964316667,101.91919999999959,81820.41884316667,50759.07758268335,362.7043389299983,51121.78192161335,13477.727286666668,weekday_corrected,120369.81465908601,123813.49990833332,117499.55295,2870.261709086015,0.8958333333333334
2025-03-12,81533.87116821666,148.40999999999985,81682.28116821666,50636.260819502975,471.6123389691655,51107.87315847214,14839.349846666668,weekday_corrected,120444.30096784946,123987.65356333333,118112.23683333334,2332.064134516113,0.8958333333333334
2025-03-13,80659.60348841666,714.804774999999,81374.40826341666,50058.560639012154,2765.1975868466634,52823.758225858815,9415.339655000002,weekday_corrected,119982.67139688172,123569.41898833335,118237.27704999999,1745.3943468817306,0.8472222222222222
2025-03-14,36587.14878345678,47.24857666666691,36634.39736012345,18976.589858661697,252.72297576083423,19229.31283442253,17045.89025907407,weekday_corrected,74412.5447930645,78032.20452999999,72108.86895,2303.6758430644986,0.8888888888888888
2025-03-15,36173.30922158435,276.8566433333339,36450.16586491768,18823.241469895198,1189.6906566575026,20012.9321265527,12052.236171666667,weekday_corrected,73734.78352532256,77430.36030999999,72724.98178333332,1009.8017419892421,0.8194444444444444
2025-03-16,79469.52895678334,48.79298666666607,79518.32194345,49162.48300001484,141.82735041916416,49304.31035043401,11754.805275000002,weekday_corrected,119170.29895994623,122882.39314333333,117983.21598333333,1187.0829766129027,0.9166666666666666
2025-03-17,79282.94460546666,78.76282166666704,79361.70742713333,48960.188882024704,498.2120108941689,49458.40089291887,17090.571770000002,weekday_corrected,119163.81750908602,122830.62875333332,117693.6218,1470.1957090860233,0.9166666666666666
2025-03-18,78901.5943151,88.5602749999997,78990.15459009999,48639.63223106225,310.0645558366655,48949.696786898916,13448.666626666669,weekday_corrected,119156.51222596774,122807.79523,117253.42358333334,1903.0886426344077,0.8958333333333334
2025-03-19,78854.2798484,47.121700000000146,78901.4015484,48605.94435189555,205.08932042416762,48811.03367231972,15021.938778333337,weekday_corrected,119416.23432193548,123023.29520499999,117281.55799999999,2134.6763219354907,0.9097222222222222
2025-03-20,78139.94352616667,191.54597833333355,78331.4895045,48210.99799883795,853.4052504300012,49064.40324926795,11708.302296666669,weekday_corrected,119170.00109392474,122735.72200999998,117648.38173333334,1521.6193605914013,0.8819444444444444
2025-03-21,35001.35879804526,140.6894116666669,35142.048209711924,18144.292419986796,498.84678916416726,18643.139209150962,19707.44258911522,weekday_corrected,73332.8521314516,76898.33577166667,72593.53221666667,739.3199147849227,0.8819444444444444
2025-03-22,35054.48912755144,55.608361666666724,35110.097489218104,18243.254300490087,118.48236611916678,18361.736666609253,15879.389448616661,weekday_corrected,73100.95491413977,76606.13732833332,71936.92953333333,1164.0253808064444,0.9097222222222222
2025-03-23,76970.96892708333,91.84449166666661,77062.81341875,47286.345904783884,478.25666604749915,47764.60257083138,13873.00478166667,weekday_corrected,118431.14302510752,121779.38964166667,117739.97726666667,691.1657584408531,0.8819444444444444
2025-03-24,76620.86573075,153.40912500000036,76774.27485575,47030.67102470258,441.40600482333446,47472.07702952591,14353.544411666673,weekday_corrected,118329.74047446236,121486.74959500002,117425.17061666667,904.5698577956937,0.9236111111111112
2025-03-25,76120.19232561727,188.91613499999983,76309.10846061728,46588.37758774654,602.7497793433329,47191.12736708987,10934.594163333335,weekday_corrected,118065.16295892473,121045.19475833334,118053.16781666667,11.995142258063424,0.8472222222222222
2025-03-26,75694.62652152263,62.839623333333634,75757.46614485596,46287.154743640254,133.98031141416732,46421.13505505442,15752.154835000007,weekday_corrected,118199.04633016128,120979.84268666667,117704.62780000002,494.4185301612597,0.9027777777777778
2025-03-27,75207.6308676,202.89311666666663,75410.52398426668,46071.809830016995,590.844314574167,46662.654144591164,12271.732185000004,weekday_corrected,118227.79851188173,120889.87713333333,117952.59836666666,275.20014521507255,0.8263888888888888
2025-03-28,33384.20728462963,140.51453166666653,33524.721816296296,17324.64926273378,445.1165786191658,17769.765841352946,19476.679124300408,weekday_corrected,72609.39969016128,75144.30701499998,71891.76726666666,717.6324234946223,0.8263888888888888
2025-03-29,33286.32598179011,76.9911083333331,33363.31709012345,17300.075611898,355.2976619208324,17655.37327381883,22480.644923106986,weekday_corrected,72311.31027392473,74794.66922499999,72118.27746666667,193.03280725805962,0.8611111111111112
2025-03-30,74204.13483364198,265.32447666666644,74469.45931030864,45274.70545332837,762.4162098633316,46037.121663191705,14760.647378333335,weekday_corrected,117780.85826569892,120235.98693666665,117994.70585,-213.84758430108195,0.7430555555555556
2025-03-31,73716.17196751028,88.27054166666744,73804.44250917695,44905.99539017941,274.3093587733357,45180.304748952745,12557.854398333337,weekday_corrected,117580.10891768815,119995.41027833332,117075.66561666667,504.44330102148524,0.7986111111111112
2025-04-01,73412.46560921811,586.5444266666667,73999.01003588477,44730.55515244139,1682.2806971874998,46412.835849628886,9497.67301,weekday_corrected,117576.61279741934,119981.53219,117967.1463,-390.5335025806562,0.7013888888888888
2025-04-02,73106.19365144032,428.24849166666513,73534.44214310698,44465.40551808584,1798.182744578326,46263.58826266417,8863.20186166667,weekday_corrected,117600.10565145162,120054.79298333335,117986.62945000001,-386.52379854838364,0.7569444444444444
2025-04-03,72493.65078339505,198.59373333333372,72692.24451672837,44127.20749684148,539.9641265575017,44667.17162339899,12599.873630000002,weekday_corrected,117836.72470440858,120299.63741833332,117884.45609999998,-47.73139559139963,0.7777777777777778
2025-04-04,31903.43614806584,131.5800350000008,32035.01618306584,16519.371282314347,441.71422530250334,16961.085507616852,22549.636286666668,weekday_corrected,72087.20343811827,74562.69656666665,71735.75181666666,351.45162145161885,0.8263888888888888
2025-04-05,32118.72967666666,162.500205,32281.22988166666,16645.467982431495,434.03730730749993,17079.505289738994,17197.114898333326,weekday_corrected,72207.09069446236,74621.17850499999,72602.74256666665,-395.6518722042965,0.7152777777777778
2025-04-06,70928.08867549383,126.77937500000019,71054.86805049382,42986.31334300707,475.2888358458349,43461.6021788529,12468.465245000003,weekday_corrected,117871.04304908602,120301.802085,117205.43058333332,665.6124657526962,0.9027777777777778
2025-04-07,70140.49511685185,194.52001166666594,70335.01512851851,42423.50614531172,500.8528530066637,42924.358998318385,12936.42071166667,weekday_corrected,117394.71017682797,119845.43181166665,117015.14203333334,379.56814349463093,0.8263888888888888
2025-04-08,70260.39765502057,121.19843499999922,70381.59609002057,42536.156467968576,442.9892735491634,42979.14574151774,11863.986248333336,weekday_corrected,117837.50064150536,120266.59988999998,117713.29026666665,124.21037483871623,0.7708333333333334
2025-04-09,69881.83670372427,311.75813333333326,70193.59483705761,42253.17587231419,865.1890539741663,43118.364926288355,6904.194688333331,weekday_corrected,117809.17319784945,120235.62790333331,117677.52253333334,131.65066451611347,0.8263888888888888
2025-04-10,69827.97843477366,133.88745166666695,69961.86588644033,42214.642864169946,486.89533577833504,42701.53819994828,11336.346118333335,weekday_corrected,117932.07085344085,120377.02597166668,117668.70068333333,263.3701701075188,0.8333333333333334
2025-04-11,31131.943264999994,308.8313616666676,31440.77462666666,16027.359742986495,1074.544793088336,17101.90453607483,23084.12445999999,weekday_corrected,72008.98572317202,74436.558165,72091.99674999999,-83.01102682796773,0.7638888888888888
