date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,49776.75899925719,26.981106978191576,49803.74010623538,25835.486596752628,57.171463028102835,25892.65805978073,11958.069862205895,weekday_trend_corrected,78550.07806700795,81355.30709568181,76305.20628333333,2244.871783674622,0.9097222222222222
2025-02-02,89170.33021048864,639.8845694686235,89810.21477995726,55803.4713563658,3278.734334041157,59082.20569040696,7263.771719831868,weekday_trend_corrected,117898.32785824251,120887.99309697014,121705.97265000001,-3807.6447917574988,0.4375
2025-02-03,93218.58326232611,136.30882224419656,93354.89208457031,59094.268103500144,532.0259063297816,59626.29400982992,9092.650549084676,weekday_trend_corrected,121894.24815368764,124969.90663691939,122603.769,-709.5208463123563,0.7708333333333334
2025-02-04,96476.9638414732,103.03124004299696,96579.9950815162,61672.778128067745,218.18449801152394,61890.96262607927,11265.446275355001,weekday_trend_corrected,125228.03162814876,128380.39466421209,121578.09884999998,3649.932778148781,0.9722222222222222
2025-02-05,98287.79159665099,0.6954344104950678,98288.48703106148,63200.80442243595,2.7224036978381796,63203.526826133784,13551.560087491496,weekday_trend_corrected,127032.40334174277,130248.04437383954,121991.08443333332,5041.318908409448,0.9861111111111112
2025-02-06,99963.93530923878,0.0,99963.93530923878,64610.43021099816,0.0,64610.43021099816,15851.5195870328,weekday_trend_corrected,128688.55105431817,132010.25794394183,122252.1627,6436.388354318173,1.0
2025-02-07,54642.9566910923,0.0,54642.9566910923,29419.98699742589,0.0,29419.98699742589,19613.638896435557,weekday_trend_corrected,83836.98461695219,87232.22077426402,76168.59693333333,7668.387683618857,1.0
2025-02-08,45760.83380793795,98.36279207496051,45859.19660001291,23602.17757312864,388.58533218469836,23990.76290531334,10855.486401851884,weekday_trend_corrected,74904.1027074489,78418.90268986825,75746.78751666666,-842.6848092177679,0.7708333333333334
2025-02-09,86000.36747291242,1265.4637846994156,87265.83125761183,53481.384160762165,5587.982188795213,59069.36634955738,3207.3531006796147,weekday_trend_corrected,115141.81189577712,118765.42390249757,121547.90356666665,-6406.091670889524,0.2777777777777778
2025-02-10,91089.22783537161,54.499231921308024,91143.72706729292,57495.3741266144,266.06702092870444,57761.441147543104,13076.100852237847,weekday_trend_corrected,120292.92381664924,124031.38928277827,121477.56451666665,-1184.6407000174077,0.7847222222222222
2025-02-11,93913.42294996668,0.0,93913.42294996668,59715.52706705728,0.0,59715.52706705728,14856.130654786848,weekday_trend_corrected,123454.5158033182,127210.99596917842,121441.28161666666,2013.2341866515344,0.9722222222222222
2025-02-12,96367.95262606732,0.0,96367.95262606732,61727.08524383371,0.0,61727.08524383371,17426.016021619635,weekday_trend_corrected,125930.29123067719,129706.42675573096,121363.85288333331,4566.438347343879,1.0
2025-02-13,98070.94106171056,0.0,98070.94106171056,63152.49206747921,0.0,63152.49206747921,23493.35526444093,weekday_trend_corrected,127830.35365680554,131654.0667699238,121310.28371666666,6520.069940138885,1.0
2025-02-14,53058.58040271389,0.0,53058.58040271389,28506.608465921807,0.0,28506.608465921807,20245.949454154223,weekday_trend_corrected,82927.19420204066,86842.76230843851,75872.63795,7054.556252040653,1.0
2025-02-15,44358.36921544468,77.95883418965639,44436.32804963434,22861.722396692603,285.7388074796497,23147.461204172254,11874.214060216029,weekday_trend_corrected,74250.39934531401,78188.16349692692,76054.55224999998,-1804.152904685965,0.7152777777777778
2025-02-16,84384.83755447112,1236.6577795785283,85621.49533404964,52262.67578360668,5981.9096760835,58244.585459690185,6097.089668654799,weekday_trend_corrected,114748.77621766727,118570.91752997911,121276.97728333333,-6528.201065666057,0.2708333333333333
2025-02-17,89076.7921658924,69.44836956729273,89146.2405354597,55904.56640613586,315.88011875727136,56220.44652489313,14462.52581582995,weekday_trend_corrected,119649.95856394643,123428.21684835505,120960.37281666664,-1310.4142527202057,0.7083333333333334
2025-02-18,91801.20066296322,21.179174542496753,91822.37983750572,58173.74819110524,46.36121307352539,58220.109404178766,16268.189650112254,weekday_trend_corrected,122786.43632919231,126567.67644145037,121331.27123333333,1455.1650958589744,0.9513888888888888
2025-02-19,93845.39591168685,35.47411118971513,93880.87002287657,59892.39813067375,75.66591978258428,59968.064050456334,17384.225705254186,weekday_trend_corrected,125165.69764650983,128893.43553091843,121866.79411666666,3298.90352984317,0.9583333333333334
2025-02-20,95234.29501557106,0.0,95234.29501557106,61023.333057364536,0.0,61023.333057364536,20949.37877512603,weekday_trend_corrected,127090.16077531631,130677.71385709052,121105.25703333333,5984.903741982984,0.9861111111111112
2025-02-21,50189.712391071895,1.1368683772161603e-13,50189.712391071895,26769.041065347003,2.8461499823606576e-13,26769.041065347003,21680.689981342406,weekday_trend_corrected,82316.71219794157,85845.39750272651,75802.00203333332,6514.710164608245,0.9930555555555556
2025-02-22,42065.42696724606,201.65260949226604,42267.079576738324,21575.355758874255,729.2031500576811,22304.558908931936,11120.263191465117,weekday_trend_corrected,74002.96495591971,77490.9320453821,75682.24226666667,-1679.2773107469548,0.6944444444444444
2025-02-23,80968.93781941937,1560.4842012368376,82529.4220206562,49920.04152585237,6841.122852734819,56761.16437858719,7117.953077209013,weekday_trend_corrected,114216.62413501968,117596.87347243904,121142.14093333331,-6925.516798313634,0.2013888888888889
2025-02-24,85241.53930742947,193.66921013779233,85435.20851756727,53174.822111762565,859.1376313928336,54033.9597431554,13742.535591745349,weekday_trend_corrected,118874.90532044272,122072.9976182922,120628.98855000001,-1754.083229557291,0.6319444444444444
2025-02-25,88236.8021179986,72.98881170273398,88309.79092970132,55618.595744931576,204.22838690082807,55822.82413183241,19366.00902912997,weekday_trend_corrected,122158.77286726565,125260.40268205061,121093.33288333332,1065.4399839323305,0.8888888888888888
2025-02-26,90409.92210058385,5.042291210467056,90414.96439179432,57373.64673788492,10.871179849766973,57384.51791773469,18455.621158904272,weekday_trend_corrected,124664.8022857886,127618.62623519718,121060.73411666666,3604.068169121936,0.9722222222222222
2025-02-27,91334.61055754556,0.0,91334.61055754556,58151.75562929556,0.0,58151.75562929556,21026.97289643762,weekday_trend_corrected,126001.74977172278,128924.79062328192,120599.48893333333,5402.260838389455,0.9930555555555556
2025-02-28,46785.34390425655,3.737575346116614,46789.08147960267,24815.326712680344,8.263779090263833,24823.590491770607,20557.49707541697,weekday_trend_corrected,81403.53951786943,84247.17264980491,75385.10794999999,6018.43156786944,0.9930555555555556
2025-03-01,38269.1368045172,43.59369791144303,38312.73050242864,19735.922364342023,92.57568950241676,19828.49805384444,11545.12404096041,weekday_trend_corrected,73321.79793320505,76097.98322497924,72244.16015,1077.6377832050493,0.8055555555555556
2025-03-02,77209.08769918898,3904.9307741932075,81114.0184733822,47228.30407988225,15465.788682518541,62694.09276240079,4595.132577375284,weekday_trend_corrected,112865.90316410463,115689.3534886745,117860.41708333333,-4994.513919228702,0.3611111111111111
2025-03-03,81232.25843454862,435.16879614673735,81667.42723069536,50427.291296420626,1691.6551461971071,52118.94644261774,5546.924996917902,weekday_trend_corrected,116899.48754085254,119801.26489768052,117958.74559999998,-1059.2580591474398,0.6111111111111112
2025-03-04,84245.93720032199,108.91544970076313,84354.85265002276,52772.284653386065,233.20990440016348,53005.49455778623,11458.606070148617,weekday_trend_corrected,120194.05954582345,123168.96175281268,118139.02498333334,2055.0345624901092,0.8958333333333334
2025-03-05,86346.26603013319,0.0,86346.26603013319,54317.09016034441,0.0,54317.09016034441,16853.88013558962,weekday_trend_corrected,122645.88890931895,125682.64020528669,118073.44383333332,4572.445075985626,0.9930555555555556
2025-03-06,87321.57504663194,0.0,87321.57504663194,55201.42295278447,0.0,55201.42295278447,18151.83443795368,weekday_trend_corrected,123828.837611197,126995.36411969166,117673.59855,6155.239061197004,1.0
2025-03-07,43384.617160709524,0.0,43384.617160709524,22948.613785101203,0.0,22948.613785101203,19689.43746578257,weekday_trend_corrected,79457.47539922883,82672.89008277722,71680.36145,7777.113949228835,0.9930555555555556
2025-03-08,34857.50949620788,93.78673504314452,34951.29623125103,18055.382706123255,196.73928272629246,18252.121988849547,12904.892629258684,weekday_trend_corrected,70499.57022658025,73818.8463591609,72344.71158333334,-1845.1413567530835,0.7152777777777778
2025-03-09,72930.41044455327,1176.5194278261183,74106.92987237939,44111.633065986185,5532.451249359156,49644.08431534534,6787.875436397956,weekday_trend_corrected,110952.30810439159,114286.73599052064,117692.9865,-6740.678395608411,0.20833333333333334
2025-03-10,77102.95348890507,1011.2891144327934,78114.24260333786,47377.19541868072,3159.4300311427482,50536.62544982347,6170.7523091941985,weekday_trend_corrected,115596.60555172963,118960.70012834256,117943.06436666667,-2346.4588149370393,0.5833333333333334
