date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,49776.75899925719,58.24820969901975,49835.00720895621,25835.486596752628,220.2426335704708,26055.729230323097,11387.88768871416,weekday_trend_corrected,78550.07806700795,81355.30709568181,76305.20628333333,2244.871783674622,0.9097222222222222
2025-02-02,89170.33021048864,698.2025429783872,89868.53275346702,55803.4713563658,3628.28562176237,59431.75697812817,6793.921470133708,weekday_trend_corrected,117898.32785824251,120887.99309697014,121705.97265000001,-3807.6447917574988,0.4375
2025-02-03,93218.58326232611,149.50581606561616,93368.08907839173,59094.268103500144,619.2587213472477,59713.526824847395,8374.845395948003,weekday_trend_corrected,121894.24815368764,124969.90663691939,122603.769,-709.5208463123563,0.7708333333333334
2025-02-04,96476.9638414732,104.91815261797672,96581.88199409118,61672.778128067745,230.90417567946253,61903.682303747206,10570.466857200438,weekday_trend_corrected,125228.03162814876,128380.39466421209,121578.09884999998,3649.932778148781,0.9722222222222222
2025-02-05,98287.79159665099,0.6954344104950678,98288.48703106148,63200.80442243595,2.7224036978381796,63203.526826133784,12714.149651001426,weekday_trend_corrected,127032.40334174277,130248.04437383954,121991.08443333332,5041.318908409448,0.9861111111111112
2025-02-06,99963.93530923878,0.0,99963.93530923878,64610.43021099816,0.0,64610.43021099816,14844.48682227518,weekday_trend_corrected,128688.55105431817,132010.25794394183,122252.1627,6436.388354318173,1.0
2025-02-07,54642.9566910923,0.0,54642.9566910923,29419.98699742589,0.0,29419.98699742589,18731.18184985208,weekday_trend_corrected,83836.98461695219,87232.22077426402,76168.59693333333,7668.387683618857,1.0
2025-02-08,45760.83380793795,156.60505351985046,45917.4388614578,23602.17757312864,785.5848185639625,24387.762391692602,10437.952905521592,weekday_trend_corrected,74904.1027074489,78418.90268986825,75746.78751666666,-842.6848092177679,0.7708333333333334
2025-02-09,86000.36747291242,1548.6330164694468,87549.00048938187,53481.384160762165,6621.594027453727,60102.97818821589,3281.239685633685,weekday_trend_corrected,115141.81189577712,118765.42390249757,121547.90356666665,-6406.091670889524,0.2777777777777778
2025-02-10,91089.22783537161,121.04109233092095,91210.26892770253,57495.3741266144,576.2434055970567,58071.61753221146,12146.923908442539,weekday_trend_corrected,120292.92381664924,124031.38928277827,121477.56451666665,-1184.6407000174077,0.7847222222222222
2025-02-11,93913.42294996668,10.927874734996863,93924.35082470169,59715.52706705728,60.97670024393814,59776.50376730122,13963.008332246745,weekday_trend_corrected,123454.5158033182,127210.99596917842,121441.28161666666,2013.2341866515344,0.9722222222222222
2025-02-12,96367.95262606732,0.0,96367.95262606732,61727.08524383371,0.0,61727.08524383371,16325.900170730974,weekday_trend_corrected,125930.29123067719,129706.42675573096,121363.85288333331,4566.438347343879,1.0
