date,planned_grid_total,emergency_total,total_grid_purchase,planned_cost,emergency_cost,total_cost,surplus_kwh,scenario_method,mean_scenario_load_kwh,p80_scenario_load_kwh,actual_load_kwh,scenario_mean_bias_kwh,scenario_p80_coverage
2025-02-01,48403.82003492335,94.70312520348375,48498.52316012684,25031.89524552233,389.1508752418634,25421.046120764193,10087.657899690967,weekday_trend_weighted,78157.2399661268,80994.59589901514,76305.20628333333,1852.0336827934661,0.8958333333333334
2025-02-02,87690.6159173405,890.5889226649994,88581.2048400055,54643.31844995992,4564.568719573186,59207.88716953311,5506.593556672173,weekday_trend_weighted,117304.43058914653,120379.10368937755,121705.97265000001,-4401.542060853477,0.3888888888888889
2025-02-03,91189.12713053598,262.864609497271,91451.99174003325,57533.44687001406,1050.6818881494446,58584.128758163504,6514.009197527803,weekday_trend_weighted,121094.03117689598,124434.88638877127,122603.769,-1509.7378231040202,0.7222222222222222
2025-02-04,94384.76562814444,121.27229166939901,94506.03791981384,60087.20465901741,276.51576852461926,60363.72042754202,8548.69907143704,weekday_trend_weighted,124322.05252858196,127683.75950902689,121578.09884999998,2743.95367858198,0.9652777777777778
2025-02-05,96215.08557068705,20.213050757092333,96235.29862144415,61604.40403945245,97.60676162301344,61702.01080107546,10706.693006775022,weekday_trend_weighted,125952.26723969933,129541.4399105062,121991.08443333332,3961.182806366007,0.9722222222222222
2025-02-06,97712.54449018723,0.0,97712.54449018723,62866.08250359531,0.0,62866.08250359531,12653.939479602235,weekday_trend_weighted,127518.93000482302,131146.89578894182,122252.1627,5266.767304823021,1.0
2025-02-07,52519.86906598782,0.0,52519.86906598782,28055.671275751934,0.0,28055.671275751934,16643.328908923857,weekday_trend_weighted,82548.28771708737,86360.35212593069,76168.59693333333,6379.690783754035,1.0
2025-02-08,43688.346375264584,248.96668680381066,43937.313062068395,22453.49386417334,1273.2142051680435,23726.70806934138,8528.188635159035,weekday_trend_weighted,73419.34837732151,77471.02789153492,75746.78751666666,-2327.4391393451515,0.6944444444444444
2025-02-09,83662.74585328327,2409.0874631474394,86071.83331643071,51768.647147970696,9901.801479747526,61670.44862771822,1873.6178273116793,weekday_trend_weighted,113596.81179123328,117698.89485583089,121547.90356666665,-7951.091775433364,0.1736111111111111
2025-02-10,88292.26992777828,281.92116082269,88574.19108860097,55408.57465029457,1189.3190628220855,56597.89371311665,9529.220171934307,weekday_trend_weighted,118731.92501970418,122658.34857611162,121477.56451666665,-2745.639496962467,0.6666666666666666
2025-02-11,91366.29768251174,49.9214623084124,91416.21914482015,57781.53868900485,276.6522435519113,58058.19093255676,11477.288678153494,weekday_trend_weighted,121832.83485229246,125825.62885084507,121441.28161666666,391.5532356258045,0.9444444444444444
2025-02-12,93385.61626084096,8.322465646921728,93393.93872648789,59537.209557279966,53.26285190991395,59590.47240918988,13393.309934711226,weekday_trend_weighted,124318.51617745755,128146.19237239764,121363.85288333331,2954.6632941242424,0.9791666666666666
2025-02-13,94828.94846399451,0.0,94828.94846399451,60809.46691258483,0.0,60809.46691258483,18751.58763992383,weekday_trend_weighted,126209.89082040358,129899.48869825716,121310.28371666666,4899.607103736926,1.0
2025-02-14,49607.443977739145,0.0,49607.443977739145,26372.50493793947,0.0,26372.50493793947,15745.514529322716,weekday_trend_weighted,81279.72238769157,84926.74525177185,75872.63795,5407.084437691563,1.0
2025-02-15,40963.44518635863,469.6698579601026,41433.11504431873,20965.198925784043,1979.6906944430382,22944.88962022708,8281.347936838003,weekday_trend_weighted,72601.15768106253,76239.17491192692,76054.55224999998,-3453.3945689374523,0.5208333333333334
2025-02-16,80518.45636070182,2282.440053369862,82800.89641407169,49617.869838417464,9856.200023267294,59474.06986168476,2979.9564222957197,weekday_trend_weighted,113195.80852926262,116636.05876164578,121276.97728333333,-8081.168754070706,0.1736111111111111
2025-02-17,84983.50843536304,417.49658259883597,85401.00501796187,53036.712182600095,1885.0205777477631,54921.732760347855,9589.247179287226,weekday_trend_weighted,118147.00355065221,121395.29338335505,120960.37281666664,-2813.3692660144297,0.5486111111111112
2025-02-18,87958.22269946565,60.78849805045127,88019.0111975161,55413.62750499612,189.90085312162185,55603.52835811774,11258.085026167486,weekday_trend_weighted,121302.0712643887,124527.92972811703,121331.27123333333,-29.199968944638385,0.8263888888888888
2025-02-19,89774.14097850642,179.9355371270674,89954.07651563348,56897.93560714531,454.75452420123605,57352.69013134654,12371.077063045508,weekday_trend_weighted,123758.84138114803,126812.05920425177,121866.79411666666,1892.0472644813708,0.9097222222222222
2025-02-20,91556.22522530559,11.553685020761804,91567.77891032635,58307.72779248834,51.013247174665594,58358.741039663,15865.517652111288,weekday_trend_weighted,125773.60067718418,128856.66737875718,121105.25703333333,4668.343643850851,0.9791666666666666
2025-02-21,46900.883687613576,43.25567527745977,46944.13936289104,24876.717610584208,153.38467325773894,25030.10228384195,17354.68078085285,weekday_trend_weighted,81064.04613295045,84011.06439105984,75802.00203333332,5262.044099617124,0.9722222222222222
2025-02-22,38313.727909483874,558.7669145440502,38872.49482402793,19693.471056154263,2096.0455432579674,21789.51659941223,7280.429181135361,weekday_trend_weighted,72830.38082640673,75681.16289204874,75682.24226666667,-2851.861440259934,0.5277777777777778
2025-02-23,77537.3050105953,2266.1630033856823,79803.46801398098,47399.48687422772,9058.696947406546,56458.183821634266,3862.610038217906,weekday_trend_weighted,113141.31303894622,115965.6747091057,121142.14093333331,-8000.827894387097,0.13194444444444445
2025-02-24,81747.5977369545,530.2739486118414,82277.87168556634,50672.123140977914,2507.8307065437148,53179.953847521625,9658.721704878715,weekday_trend_weighted,117881.39199395194,120726.98332495886,120628.98855000001,-2747.596556048069,0.5347222222222222
2025-02-25,84873.17959894754,245.65492664366525,85118.8345255912,53110.93164267528,934.8893588858764,54045.821001561155,14693.866767027608,weekday_trend_weighted,121236.58474807374,124012.59239038394,121093.33288333332,143.2518647404213,0.8194444444444444
2025-02-26,87012.51631329375,27.324839212673965,87039.84115250641,54795.97263306218,59.166579527227555,54855.139212589405,13612.82500337491,weekday_trend_weighted,123846.26479675027,126553.41041686386,121060.73411666666,2785.5306800836115,0.9513888888888888
2025-02-27,87871.75218330686,0.0,87871.75218330686,55517.919690048475,0.0,55517.919690048475,16295.887608281933,weekday_trend_weighted,125248.8947445048,128064.52066828191,120599.48893333333,4649.405811171469,0.9930555555555556
