INFO loading price and annual actual data
INFO [001/334] 2025-02-01 solved: plan_kWh=96653.216 emergency_kWh=0.000 total_cost=61767.895
INFO [002/334] 2025-02-02 solved: plan_kWh=96156.971 emergency_kWh=13.377 total_cost=61505.666
INFO [003/334] 2025-02-03 solved: plan_kWh=95684.233 emergency_kWh=15.483 total_cost=61099.001
INFO [004/334] 2025-02-04 solved: plan_kWh=95690.689 emergency_kWh=70.908 total_cost=61299.813
INFO [005/334] 2025-02-05 solved: plan_kWh=95703.181 emergency_kWh=10.173 total_cost=61123.094
INFO [006/334] 2025-02-06 solved: plan_kWh=95327.042 emergency_kWh=7.921 total_cost=60840.029
INFO [007/334] 2025-02-07 solved: plan_kWh=95017.546 emergency_kWh=0.000 total_cost=60552.295
INFO [008/334] 2025-02-08 solved: plan_kWh=94522.577 emergency_kWh=0.000 total_cost=60175.935
INFO [009/334] 2025-02-09 solved: plan_kWh=94087.786 emergency_kWh=79.364 total_cost=60056.411
INFO [010/334] 2025-02-10 solved: plan_kWh=93626.702 emergency_kWh=22.992 total_cost=59660.779
INFO [011/334] 2025-02-11 solved: plan_kWh=93642.421 emergency_kWh=3.118 total_cost=59569.228
INFO [012/334] 2025-02-12 solved: plan_kWh=93638.311 emergency_kWh=20.746 total_cost=59669.489
INFO [013/334] 2025-02-13 solved: plan_kWh=93029.891 emergency_kWh=31.322 total_cost=59222.844
INFO [014/334] 2025-02-14 solved: plan_kWh=92706.254 emergency_kWh=0.000 total_cost=58839.463
INFO [015/334] 2025-02-15 solved: plan_kWh=92074.821 emergency_kWh=0.000 total_cost=58359.109
INFO [016/334] 2025-02-16 solved: plan_kWh=91402.783 emergency_kWh=69.754 total_cost=58198.909
INFO [017/334] 2025-02-17 solved: plan_kWh=90473.851 emergency_kWh=96.111 total_cost=57627.986
INFO [018/334] 2025-02-18 solved: plan_kWh=90513.331 emergency_kWh=21.162 total_cost=57294.701
INFO [019/334] 2025-02-19 solved: plan_kWh=90518.671 emergency_kWh=176.936 total_cost=57871.462
INFO [020/334] 2025-02-20 solved: plan_kWh=89829.589 emergency_kWh=124.626 total_cost=57259.106
INFO [021/334] 2025-02-21 solved: plan_kWh=88935.924 emergency_kWh=0.000 total_cost=55992.136
INFO [022/334] 2025-02-22 solved: plan_kWh=88494.813 emergency_kWh=0.000 total_cost=55663.608
INFO [023/334] 2025-02-23 solved: plan_kWh=87452.555 emergency_kWh=119.953 total_cost=55271.706
INFO [024/334] 2025-02-24 solved: plan_kWh=86608.608 emergency_kWh=165.086 total_cost=55119.879
INFO [025/334] 2025-02-25 solved: plan_kWh=86645.184 emergency_kWh=138.874 total_cost=54847.860
