date,initial_plan_kwh,executed_grid_kwh,emergency_kwh,total_grid_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,charge_kwh,discharge_kwh,battery_throughput_kwh,up_adjust_kwh,down_adjust_kwh,emergency_day,price_mean,price_min,price_max,price_range,price_std
2025-02-01,96282.96218333332,96282.96218333332,0.0,96282.96218333332,51713.57475199666,0.0,0.0,51713.57475199666,23833.33333333333,19305.0,43138.33333333333,0.0,0.0,0,0.6514930555555556,0.2537,1.1766,0.9229,0.2810582758009789
2025-02-02,95876.48266666665,95876.48266666665,13.37651666666659,95889.85918333332,67825.66800110666,0.0,84.99336070833284,67910.661361815,24000.0,19440.0,43440.0,0.0,0.0,1,0.8363881944444445,0.3697,1.3998,1.0301,0.3243527271301106
2025-02-03,95426.41888703703,95426.41888703703,15.482799999999997,95441.90168703703,68493.88471086555,0.0,38.90847079999999,68532.79318166555,24106.992037037035,19526.663549999997,43633.655587037036,0.0,0.0,1,0.8447902777777778,0.3709,1.3447,0.9738,0.32646097974239935
2025-02-04,95667.44850123455,95667.44850123455,70.90808333333337,95738.35658456788,68640.5916913295,0.0,237.68117220833352,68878.27286353783,25298.574567901233,20491.8454,45790.41996790123,0.0,0.0,1,0.8491895833333333,0.381,1.3987,1.0177,0.32725104250719905
2025-02-05,95755.09796666665,95755.09796666665,10.173350000000028,95765.27131666665,68564.14990257833,0.0,47.59857970000053,68611.74848227833,25666.666666666664,20790.0,46456.666666666664,0.0,0.0,1,0.8482541666666665,0.3423,1.3848,1.0425,0.32367292687796734
2025-02-06,95183.65583333332,95183.65583333332,8.426733333333118,95192.08256666665,67920.28712711998,0.0,48.013392899999076,67968.30052001998,24666.666666666664,19980.0,44646.666666666664,0.0,0.0,1,0.8439645833333334,0.3228,1.447,1.1242,0.32682011881936546
2025-02-07,95422.70786460905,95422.70786460905,0.0,95422.70786460905,49760.45650226769,0.0,0.0,49760.45650226769,27492.696831275716,22269.08443333333,49761.781264609046,0.0,0.0,0,0.6440388888888888,0.2631,1.2102,0.9470999999999999,0.28208778261166406
2025-02-08,94403.38209999999,94403.38209999999,0.0,94403.38209999999,49603.031317751665,0.0,0.0,49603.031317751665,24666.666666666664,19980.0,44646.666666666664,0.0,0.0,0,0.642351388888889,0.2752,1.1675,0.8923,0.27854506417427105
2025-02-09,93795.48491666665,93795.48491666665,79.36373333333341,93874.84864999999,66452.97624950665,0.0,312.9689581833335,66765.94520768999,23666.666666666664,19170.000000000004,42836.66666666667,0.0,0.0,1,0.8413840277777778,0.3001,1.3378,1.0377,0.32357225357955954
2025-02-10,93500.11319999999,93500.11319999999,21.256833333333134,93521.37003333333,64421.39552430999,0.0,106.10176074999872,64527.49728505999,24499.999999999996,19845.0,44345.0,0.0,0.0,1,0.8180638888888889,0.3637,1.352,0.9883000000000001,0.31673265948568763
2025-02-11,93643.14962304526,93643.14962304526,3.1183333333333394,93646.2679563786,65051.4903064002,0.0,14.484658333333362,65065.974964733534,25003.232489711932,20252.618316666667,45255.8508063786,0.0,0.0,1,0.8284923611111111,0.36,1.343,0.983,0.320101564194836
2025-02-12,93586.3046,93586.3046,21.07261666666693,93607.37721666667,64786.01202324666,0.0,116.20753165000144,64902.21955489666,24833.33333333333,20115.0,44948.33333333333,0.0,0.0,1,0.8264243055555556,0.3727,1.3314,0.9586999999999999,0.32198958968819674
2025-02-13,92861.53436769545,92861.53436769545,33.33236666666687,92894.86673436212,63333.56382852415,0.0,160.3651086000015,63493.928937124154,24371.461584362136,19740.88388333333,44112.345467695464,0.0,0.0,1,0.8147909722222221,0.3026,1.3496,1.047,0.32148191972514706
2025-02-14,92473.38267283949,92473.38267283949,0.0,92473.38267283949,47888.62432770888,0.0,0.0,47888.62432770888,23912.07950617284,19368.7844,43280.86390617284,0.0,0.0,0,0.6311,0.2247,1.1609,0.9362,0.26916097001195727
2025-02-15,92190.81013744854,92190.81013744854,0.0,92190.81013744854,48291.477404281555,0.0,0.0,48291.477404281555,25570.05967078189,20711.748333333337,46281.80800411523,0.0,0.0,0,0.6378472222222222,0.2846,1.1564,0.8718000000000001,0.2677589118094766
2025-02-16,91290.78396666666,91290.78396666666,69.754183333333,91360.53815,63152.33668629499,0.0,367.19021113333093,63519.526897428324,24833.333333333332,20115.0,44948.33333333333,0.0,0.0,1,0.8303222222222222,0.34,1.3733,1.0332999999999999,0.32428319487508916
