metric,fixed_price,dynamic_price,absolute_change,relative_change
initial_plan_kwh,25627255.441250667,25670948.337913815,43692.896663147956,0.0017049385863153377
executed_grid_kwh,24999199.302475538,25037267.64220966,38068.33973412216,0.0015227823608875526
emergency_kwh,282085.63826788275,281004.2788216847,-1081.3594461980392,-0.003833443818118545
total_grid_kwh,25281284.94074342,25318271.921031345,36986.98028792441,0.0014630182118756173
plan_cost,15933478.626203697,16003483.691399405,70005.0651957076,0.004393583274438231
adjustment_cost,9377.417676283196,26456.991539576946,17079.57386329375,1.821351511993583
emergency_cost,1077450.6026608576,1214613.7429377914,137163.1402769338,0.12730341413165255
total_cost,17020306.64654084,17244554.425876774,224247.77933593467,0.01317530782452208
charge_kwh,7378846.080187424,7577865.612505415,199019.53231799137,0.026971633525785136
discharge_kwh,5976865.324951814,6138071.1461293865,161205.82117757294,0.026971633525785126
battery_throughput_kwh,13355711.405139238,13715936.758634802,360225.3534955643,0.026971633525785133
up_adjust_kwh,323799.4268376691,327031.53227925784,3232.105441588734,0.009981813350179556
down_adjust_kwh,951855.5656127983,960712.2279834151,8856.662370616803,0.009304628444248201
emergency_day,243.0,242.0,-1.0,-0.00411522633744856
days,334,334,0,0.0
max_daily_cost,87395.12412698571,102197.85402337619,14802.729896390476,0.1693770681632308
mean_price,0.7661972222222221,0.7575275199600798,-0.008669702262142254,-0.011315235830531057
