date,initial_soc_kwh,terminal_soc_kwh,charge_kwh,discharge_kwh,policy,formal_evaluation
2025-01-01,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-02,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-03,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-04,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-05,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-06,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-07,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-08,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-09,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-10,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-11,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-12,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-13,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-14,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-15,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-16,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-17,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-18,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-19,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-20,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-21,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-22,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-23,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-24,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-25,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-26,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-27,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-28,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-29,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-30,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
2025-01-31,6000.0,6000.0,0.0,0.0,battery_idle_online_grid_balance,False
