date,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh
2025-02-01,88119.34509089505,88119.34509089505,0.0,88119.34509089505,57195.55700210562,0.0,0.0,57195.55700210562,0.0,0.0
2025-02-02,93028.6246420439,93028.6246420439,14.969616666666298,93043.59425871057,58839.060400709204,0.0,91.6742761166646,58930.73467682587,0.0,0.0
2025-02-03,95577.53221666666,95577.53221666666,47.20604861111053,95624.73826527777,60558.444441050415,0.0,180.46629751944167,60738.91073856986,0.0,0.0
2025-02-04,97688.50120833333,97688.50120833333,71.72141666666641,97760.222625,62482.35854711139,0.0,236.48212566666552,62718.84067277805,0.0,0.0
2025-02-05,92788.15158477366,92788.15158477366,232.14904027777837,93020.30062505144,58875.31532150251,0.0,616.0006785083355,59491.31600001085,0.0,0.0
2025-02-06,98234.56463472222,98234.56463472222,16.758883333332733,98251.32351805555,62695.27143961862,0.0,90.74860335833017,62786.020042976954,0.0,0.0
2025-02-07,94474.5442013203,94474.5442013203,0.0,94474.5442013203,60119.248691742076,0.0,0.0,60119.248691742076,0.0,0.0
2025-02-08,86053.73136680367,86053.73136680367,0.0,86053.73136680367,53787.067046554046,0.0,0.0,53787.067046554046,0.0,0.0
2025-02-09,93438.11954583332,93438.11954583332,12.103629166666536,93450.22317499999,59142.627602440276,0.0,58.45012367916603,59201.077726119445,0.0,0.0
2025-02-10,88797.01672916667,88797.01672916667,34.428624999999556,88831.44535416667,55779.44379949264,0.0,177.019609624998,55956.46340911764,0.0,0.0
2025-02-11,89709.45243739712,89709.45243739712,39.791155555555456,89749.24359295268,56788.813061771376,0.0,98.54476529444423,56887.35782706582,0.0,0.0
2025-02-12,89798.25652916667,89798.25652916667,21.020950000000198,89819.27747916667,56577.33935887,0.0,117.77835872500103,56695.117717595,0.0,0.0
2025-02-13,84413.83668112141,84413.83668112141,35.78411666666659,84449.62079778807,52476.753799738784,0.0,178.68402237499964,52655.43782211378,0.0,0.0
2025-02-14,86991.25089624485,86991.25089624485,0.0,86991.25089624485,54265.70464703727,0.0,0.0,54265.70464703727,0.0,0.0
2025-02-15,88422.08587558298,88422.08587558298,0.0,88422.08587558298,55138.20110624938,0.0,0.0,55138.20110624938,0.0,0.0
2025-02-16,89879.89245833334,89879.89245833334,95.29220555555526,89975.1846638889,56428.057626723064,0.0,491.80302172360916,56919.86064844667,0.0,0.0
2025-02-17,88991.23042054183,88991.23042054183,101.18791666666607,89092.4183372085,55375.26212020045,0.0,537.9470697999967,55913.209190000445,0.0,0.0
2025-02-18,80245.56908545953,80245.56908545953,1343.6554791666656,81589.2245646262,49840.35739805133,0.0,4410.680095110414,54251.03749316175,0.0,0.0
2025-02-19,80409.07311854167,80409.07311854167,743.6975291666661,81152.77064770833,50033.709591020786,0.0,2646.008052428471,52679.71764344926,0.0,0.0
2025-02-20,82982.23160555554,82982.23160555554,280.53447361111,83262.76607916666,51200.40037852764,0.0,1365.6728396381895,52566.07321816583,0.0,0.0
2025-02-21,81458.35216886146,81458.35216886146,0.0,81458.35216886146,50441.974697659054,0.0,0.0,50441.974697659054,0.0,0.0
2025-02-22,82861.7819963306,82861.7819963306,0.0,82861.7819963306,51355.34566039165,0.0,0.0,51355.34566039165,0.0,0.0
2025-02-23,81499.8173694357,81499.8173694357,642.1449694444453,82141.96233888014,50309.29988660493,0.0,2934.7679738381985,53244.06786044313,0.0,0.0
2025-02-24,77687.16165975652,77687.16165975652,1489.0360236111117,79176.19768336763,48372.990414610875,0.0,4319.720976311806,52692.71139092268,0.0,0.0
2025-02-25,80016.396157,80016.396157,206.76697916666592,80223.16313616667,49376.61836458574,0.0,892.1739482909696,50268.79231287671,0.0,0.0
2025-02-26,74051.09401884432,74051.09401884432,1704.73006111111,75755.82407995543,45205.11981803728,0.0,6271.660739111801,51476.78055714908,0.0,0.0
2025-02-27,75170.60503609396,75170.60503609396,575.3714805555546,75745.9765166495,46122.355418703264,0.0,2667.890683346524,48790.24610204979,0.0,0.0
2025-02-28,75439.08500819615,75439.08500819615,0.0,75439.08500819615,46068.35556438651,0.0,0.0,46068.35556438651,0.0,0.0
2025-03-01,85886.78376817558,85886.78376817558,0.0,85886.78376817558,53645.69125830758,0.0,0.0,53645.69125830758,0.0,0.0
2025-03-02,83098.92063782646,83098.92063782646,351.29544861111,83450.21608643758,51454.98184984361,0.0,1538.5981036826338,52993.57995352624,0.0,0.0
2025-03-03,84687.21983693415,84687.21983693415,890.0060680555533,85577.2259049897,52378.704395007866,0.0,4094.107384704852,56472.81177971272,0.0,0.0
2025-03-04,75875.0880087963,75875.0880087963,1773.477779166667,77648.56578796297,46697.9282085675,0.0,6120.4368330340285,52818.36504160153,0.0,0.0
2025-03-05,79361.90970108024,79361.90970108024,198.31215277777682,79560.22185385802,48820.09861461712,0.0,988.3292173166619,49808.42783193378,0.0,0.0
2025-03-06,75184.81234478738,75184.81234478738,453.74530694444377,75638.55765173183,45896.528776106454,0.0,1985.5100766784706,47882.03885278492,0.0,0.0
2025-03-07,80665.62344683951,80665.62344683951,0.0,80665.62344683951,49915.97464325587,0.0,0.0,49915.97464325587,0.0,0.0
2025-03-08,74667.39066155556,74667.39066155556,0.0,74667.39066155556,45423.24962275214,0.0,0.0,45423.24962275214,0.0,0.0
2025-03-09,78776.92993561385,78776.92993561385,240.56305694444393,79017.4929925583,48031.334328236466,0.0,1307.4289936187472,49338.763321855215,0.0,0.0
2025-03-10,75618.67998619686,75618.67998619686,1086.5937180555543,76705.27370425241,45806.47483454832,0.0,4675.787019353466,50482.261853901786,0.0,0.0
2025-03-11,67295.29892289094,67295.29892289094,3848.938822222223,71144.23774511316,41139.86259954247,0.0,13262.205137977777,54402.06773752025,0.0,0.0
2025-03-12,76704.06132381687,76704.06132381687,250.44740972222155,76954.5087335391,46917.764934709,0.0,843.5570724715258,47761.322007180526,0.0,0.0
2025-03-13,77226.19892273663,77226.19892273663,1028.5380194444433,78254.73694218107,47010.08733776506,0.0,4535.8222831743005,51545.90962093936,0.0,0.0
2025-03-14,69835.21597866941,69835.21597866941,0.0,69835.21597866941,42585.445959391436,0.0,0.0,42585.445959391436,0.0,0.0
2025-03-15,76397.8108736111,76397.8108736111,9.053333333333399,76406.86420694443,46364.323227578745,0.0,19.356026666666803,46383.67925424541,0.0,0.0
2025-03-16,73950.30933283607,73950.30933283607,478.79769861111004,74429.10703144719,45267.20287668891,0.0,2001.957992390968,47269.16086907988,0.0,0.0
2025-03-17,69398.40242787672,69398.40242787672,772.1040333333328,70170.50646121005,41471.651184979,0.0,3299.5056770388874,44771.15686201789,0.0,0.0
2025-03-18,77869.01376249999,77869.01376249999,99.14331666666567,77968.15707916666,47806.30926222612,0.0,283.92237130833024,48090.23163353445,0.0,0.0
2025-03-19,65079.80081210562,65079.80081210562,1505.4880958333338,66585.28890793896,39688.72530978568,0.0,5210.558683684028,44899.28399346971,0.0,0.0
2025-03-20,73066.57028628257,73066.57028628257,1123.4568472222227,74190.02713350479,44567.43859362263,0.0,4479.956359544446,49047.39495316708,0.0,0.0
2025-03-21,71126.58986886145,71126.58986886145,0.0,71126.58986886145,42828.035939267036,0.0,0.0,42828.035939267036,0.0,0.0
2025-03-22,73772.56041689197,73772.56041689197,9.078333333333376,73781.6387502253,45145.8645317483,0.0,19.409476666666755,45165.27400841497,0.0,0.0
2025-03-23,74245.14979837104,74245.14979837104,240.3689222222216,74485.51872059326,45295.170284286534,0.0,1081.5841581013858,46376.75444238792,0.0,0.0
2025-03-24,69847.76149471878,69847.76149471878,445.67238194444417,70293.43387666323,42113.36804215893,0.0,1507.462926093749,43620.83096825268,0.0,0.0
2025-03-25,77017.58165118314,77017.58165118314,259.99921527777656,77277.5808664609,47006.19304728956,0.0,905.6041316611077,47911.79717895067,0.0,0.0
2025-03-26,67186.71854492456,67186.71854492456,478.749838888888,67665.46838381345,40700.17822400459,0.0,1795.996005942358,42496.17422994695,0.0,0.0
2025-03-27,70489.69490859054,70489.69490859054,369.9775499999987,70859.67245859053,42817.80347551008,0.0,1277.616455423606,44095.41993093369,0.0,0.0
2025-03-28,68361.37539999999,68361.37539999999,0.0,68361.37539999999,41642.791896256254,0.0,0.0,41642.791896256254,0.0,0.0
2025-03-29,63013.482554166665,63013.482554166665,0.0,63013.482554166665,38027.36281387265,0.0,0.0,38027.36281387265,0.0,0.0
2025-03-30,68798.59212110768,68798.59212110768,564.9969583333323,69363.58907944101,41197.41459106524,0.0,2053.47611725972,43250.89070832496,0.0,0.0
2025-03-31,60270.450690997954,60270.450690997954,2788.9214097222202,63059.372100720175,36289.43373263633,0.0,9630.460303107633,45919.894035743964,0.0,0.0
2025-04-01,72096.25897746913,72096.25897746913,1057.9816416666654,73154.24061913579,42830.40045412492,0.0,3950.282951227773,46780.6834053527,0.0,0.0
2025-04-02,69617.64484861112,69617.64484861112,843.6169930555543,70461.26184166667,41669.26945208431,0.0,3395.048297184717,45064.31774926902,0.0,0.0
2025-04-03,70415.4100060871,70415.4100060871,403.72026666666545,70819.13027275377,42874.12998175607,0.0,1372.3338746993013,44246.463856455375,0.0,0.0
2025-04-04,62029.23326944445,62029.23326944445,0.0,62029.23326944445,37208.94934368583,0.0,0.0,37208.94934368583,0.0,0.0
2025-04-05,62350.3926875,62350.3926875,0.0,62350.3926875,36988.97235171514,0.0,0.0,36988.97235171514,0.0,0.0
2025-04-06,66337.77573630109,66337.77573630109,535.4039569444434,66873.17969324553,39109.4796093865,0.0,2333.8616744326337,41443.341283819136,0.0,0.0
2025-04-07,59095.17369305555,59095.17369305555,2774.1314013888873,61869.30509444443,34905.02338476166,0.0,10331.273541081242,45236.29692584291,0.0,0.0
2025-04-08,67052.59339862826,67052.59339862826,452.56614861110927,67505.15954723937,40327.15284023147,0.0,1976.0140186562414,42303.166858887715,0.0,0.0
2025-04-09,66307.37138127572,66307.37138127572,1502.807027777778,67810.1784090535,39537.70534853361,0.0,4793.64812962153,44331.353478155135,0.0,0.0
2025-04-10,64586.644043998625,64586.644043998625,459.4998180555541,65046.14386205418,39029.75446180507,0.0,1900.162456849301,40929.916918654366,0.0,0.0
2025-04-11,53976.87837415981,53976.87837415981,0.0,53976.87837415981,32305.900017251544,0.0,0.0,32305.900017251544,0.0,0.0
2025-04-12,68675.73529702777,68675.73529702777,0.0,68675.73529702777,40902.72887173429,0.0,0.0,40902.72887173429,0.0,0.0
2025-04-13,61612.38380277778,61612.38380277778,859.0378055555535,62471.42160833334,36430.07634795806,0.0,3268.239075682631,39698.315423640684,0.0,0.0
2025-04-14,64294.799384773665,64294.799384773665,767.6391930555543,65062.43857782922,38654.6466874452,0.0,2393.154480524996,41047.801167970196,0.0,0.0
2025-04-15,56668.82697443415,56668.82697443415,1911.6560013888889,58580.48297582304,33414.71552853981,0.0,7900.303633813192,41315.019162353005,0.0,0.0
2025-04-16,62858.396338117294,62858.396338117294,1207.03827222222,64065.434610339515,36651.55557722117,0.0,4916.515950840963,41568.07152806213,0.0,0.0
2025-04-17,57352.08148966049,57352.08148966049,2019.74522638889,59371.826716049385,34557.116513232875,0.0,6636.317973281948,41193.43448651482,0.0,0.0
2025-04-18,58145.672197719476,58145.672197719476,0.0,58145.672197719476,34401.17278723418,0.0,0.0,34401.17278723418,0.0,0.0
2025-04-19,62596.839586111106,62596.839586111106,0.0,62596.839586111106,36583.35513290028,0.0,0.0,36583.35513290028,0.0,0.0
2025-04-20,58487.95133515089,58487.95133515089,1723.2450194444436,60211.19635459533,34768.25460550373,0.0,6313.14762337986,41081.40222888359,0.0,0.0
2025-04-21,60982.75898050412,60982.75898050412,747.8480152777763,61730.6069957819,36166.0139648341,0.0,2748.1410212520786,38914.15498608618,0.0,0.0
2025-04-22,54952.626122222224,54952.626122222224,4067.6065611111126,59020.232683333335,32538.82527213611,0.0,13745.201530070834,46284.02680220694,0.0,0.0
2025-04-23,53175.259115740744,53175.259115740744,4038.0663513888894,57213.32546712963,31632.802345371252,0.0,13608.257294871526,45241.05964024278,0.0,0.0
2025-04-24,55567.51204228395,55567.51204228395,1192.8574750000005,56760.36951728395,32897.232980606335,0.0,3770.298826945833,36667.531807552165,0.0,0.0
2025-04-25,54497.30066502058,54497.30066502058,0.0,54497.30066502058,32946.759809725554,0.0,0.0,32946.759809725554,0.0,0.0
2025-04-26,54657.82681421468,54657.82681421468,0.0,54657.82681421468,32850.360323688816,0.0,0.0,32850.360323688816,0.0,0.0
2025-04-27,55117.337919393,55117.337919393,2068.009808333333,57185.34772772634,32854.43815284537,0.0,9236.882855733335,42091.3210085787,0.0,0.0
2025-04-28,65552.98615468107,65552.98615468107,1150.8073472222213,66703.79350190329,38499.28895091507,0.0,4923.113655829859,43422.40260674493,0.0,0.0
2025-04-29,56892.8872409465,56892.8872409465,922.4129111111104,57815.30015205761,33682.10990390746,0.0,4322.707305729165,38004.817209636625,0.0,0.0
2025-04-30,54237.30045315501,54237.30045315501,1928.5888666666651,56165.889319821676,32536.975000339844,0.0,6941.731531151384,39478.706531491225,0.0,0.0
2025-05-01,56878.97608113855,56878.97608113855,3274.1565680555527,60153.1326491941,34015.53594333657,0.0,15490.581293409015,49506.11723674558,0.0,0.0
2025-05-02,67566.18369221536,67566.18369221536,0.0,67566.18369221536,39949.1259317783,0.0,0.0,39949.1259317783,0.0,0.0
2025-05-03,64054.707585631,64054.707585631,18.39166666666665,64073.09925229767,37846.35748467524,0.0,39.3213833333333,37885.678868008574,0.0,0.0
2025-05-04,61002.92474288408,61002.92474288408,2097.476462499997,63100.40120538408,36014.566369109525,0.0,9734.218445780545,45748.78481489007,0.0,0.0
