date,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh
2025-02-01,88119.34509089505,84508.77380903634,0.0,84508.77380903634,57195.55700210562,-1372.6983565345372,0.0,55822.85864557108,0.0,3610.5712818587117
2025-02-02,93028.6246420439,91133.76078886111,14.969616666666298,91148.73040552778,58839.060400709204,-601.9786367075533,91.6742761166646,58328.75604011832,7.174727777777889,1902.0385809605625
2025-02-03,95577.53221666666,91820.37385972223,140.44107916666613,91960.81493888889,60558.444441050415,-1333.0753087086096,640.1452157041641,59865.51434804597,0.0,3757.158356944441
2025-02-04,97688.50120833333,94412.95006556927,71.72141666666641,94484.67148223594,62482.35854711139,-1264.0410385964442,236.48212566666552,61454.79963418162,0.0,3275.5511427640618
2025-02-05,92788.15158477366,92686.29193822015,23.015093055555383,92709.3070312757,58875.31532150251,79.98637391838739,106.45277440972183,59061.754469830616,163.77588677983914,265.63553333333357
2025-02-06,98234.56463472222,94141.88748319616,17.394336111110533,94159.28181930727,62695.27143961862,-1568.0965664281312,93.87018375555249,61221.04505694604,0.0,4092.6771515260616
2025-02-07,94474.5442013203,92537.03435063442,0.0,92537.03435063442,60119.248691742076,-656.2619904457969,0.0,59462.98670129628,53.46306111111119,1990.9729117969796
2025-02-08,86053.73136680367,87060.07926755829,0.0,87060.07926755829,53787.067046554046,1117.618976799324,0.0,54904.68602335337,1010.4374438101906,4.089543055555623
2025-02-09,93438.11954583332,92876.27242206945,11.187437499999874,92887.45985956946,59142.627602440276,-218.71717039397387,54.49400806249938,58978.4044401088,8.91313318055552,570.7602569444449
2025-02-10,88797.01672916667,82563.50425915277,878.3495736111101,83441.85383276388,55779.44379949264,-2143.349178542513,3176.8793404569415,56812.97396140707,0.0,6233.512470013889
2025-02-11,89709.45243739712,86162.54318165296,25.557193055555665,86188.10037470852,56788.813061771376,-1363.0869325853953,74.19424467569537,55499.92037386168,0.0,3546.9092557441677
2025-02-12,89798.25652916667,85607.75144507887,32.748245833333385,85640.49969091221,56577.33935887,-1462.7909004351932,175.35526072916696,55289.903719163965,0.0,4190.505084087791
2025-02-13,84413.83668112141,81241.21249144306,76.66246666666669,81317.87495810972,52476.753799738784,-1074.2117013343418,362.9638741993056,51765.50597260374,0.0,3172.624189678322
2025-02-14,86991.25089624485,85805.13052246708,0.0,85805.13052246708,54265.70464703727,-103.26561253430992,0.0,54162.43903450296,384.26808472222353,1570.3884585000014
2025-02-15,88422.08587558298,83761.365952572,0.0,83761.365952572,55138.20110624938,-1567.9977926803294,0.0,53570.20331356904,0.0,4660.719923010975
2025-02-16,89879.89245833334,84229.34068750001,238.4448319444436,84467.78551944446,56428.057626723064,-1977.2552742545822,883.3853553868015,55334.187707855286,0.0,5650.55177083333
2025-02-17,88991.23042054183,82625.97950378121,101.18791666666607,82727.16742044788,55375.26212020045,-2001.3566949592246,537.9470697999967,53911.85249504122,68.62953600000014,6433.88045276063
2025-02-18,80245.56908545953,80947.70588760288,806.3093611111108,81754.01524871399,49840.35739805133,472.6724632025159,3525.0137976861092,53838.043658939954,702.1368021433477,0.0
2025-02-19,80409.07311854167,80302.10977306945,486.03456249999977,80788.14433556945,50033.709591020786,-10.463567135666786,1762.057153850693,51785.30317773581,17.57354897222308,124.53689444444376
2025-02-20,82982.23160555554,81943.32240668056,239.7251749999973,82183.04758168056,51200.40037852764,499.3845238364439,1174.314683474293,52874.09958583838,857.4892763888886,1896.3984752638876
2025-02-21,81458.35216886146,82015.60849684499,0.0,82015.60849684499,50441.974697659054,939.7598642851375,0.0,51381.73456194419,993.5181627057626,436.26183472222283
2025-02-22,82861.7819963306,82994.4379193306,0.0,82994.4379193306,51355.34566039165,328.58659496745014,0.0,51683.9322553591,399.5547549444427,266.89883194444405
2025-02-23,81499.8173694357,81472.40754165791,281.58730416666685,81753.99484582458,50309.29988660493,88.04003160784623,1110.9388594666664,51508.27877767944,113.22942916666582,140.63925694444515
2025-02-24,77687.16165975652,79088.84634216392,304.59316388888806,79393.4395060528,48372.990414610875,962.5642025966611,1525.7617262395786,50861.31634344711,1493.5143157407329,91.8296333333335
2025-02-25,80016.396157,78208.28375333146,219.80998472222166,78428.09373805368,49376.61836458574,-546.5007426223481,982.6963584791652,49812.81398044256,235.6990198731168,2043.8114235416604
2025-02-26,74051.09401884432,74783.6467462332,1027.5029098333328,75811.14965606653,45205.11981803728,567.6551580626143,4163.674834558835,49936.44981065873,732.552727388886,0.0
2025-02-27,75170.60503609396,74786.90538899176,403.22089027777713,75190.12627926953,46122.355418703264,27.957868819661883,1922.0080161743026,48072.32130369723,151.71974873113913,535.4193958333335
2025-02-28,75439.08500819615,76796.49952234224,0.0,76796.49952234224,46068.35556438651,1283.144691409705,0.0,47351.500255796214,1372.211954423867,14.797440277777923
2025-03-01,85886.78376817558,78406.01330601149,0.0,78406.01330601149,53645.69125830758,-2479.938576369981,0.0,51165.7526819376,0.0,7480.77046216409
2025-03-02,83098.92063782646,83910.78818307613,316.8016916666657,84227.5898747428,51454.98184984361,1172.691385799948,1612.3372717104116,54240.01050735397,1057.8352285829985,245.96768333333353
2025-03-03,84687.21983693415,81197.02465226338,478.9831874999993,81676.00783976338,52378.704395007866,-252.94382556476648,2200.576989543748,54326.337558986845,826.5019569444439,4316.697141615225
2025-03-04,75875.0880087963,77307.70152044907,1078.3375478909493,78386.03906834002,46697.9282085675,1423.9638397986705,3844.257223962384,51966.149272328556,1432.613511652778,0.0
2025-03-05,79361.90970108024,78050.40218443055,183.5499486111105,78233.95213304166,48820.09861461712,-291.78807624551587,985.3296100472196,49513.640148418825,104.20713333333197,1415.7146499830246
