policy,date,initial_plan_kwh,executed_adjusted_kwh,emergency_kwh,actual_grid_energy_kwh,plan_cost,adjustment_cost,emergency_cost,total_cost,up_adjust_kwh,down_adjust_kwh
0,2025-02-01,88119.34509089505,88119.34509089505,0.0,88119.34509089505,57195.55700210562,0.0,0.0,57195.55700210562,0.0,0.0
0,2025-02-02,93028.6246420439,93028.6246420439,14.969616666666298,93043.59425871057,58839.060400709204,0.0,91.6742761166646,58930.73467682587,0.0,0.0
0,2025-02-03,95577.53221666666,95577.53221666666,47.20604861111053,95624.73826527777,60558.444441050415,0.0,180.46629751944167,60738.91073856986,0.0,0.0
0,2025-02-04,97688.50120833333,97688.50120833333,71.72141666666641,97760.222625,62482.35854711139,0.0,236.48212566666552,62718.84067277805,0.0,0.0
0,2025-02-05,92788.15158477366,92788.15158477366,232.14904027777837,93020.30062505144,58875.31532150251,0.0,616.0006785083355,59491.31600001085,0.0,0.0
0,2025-02-06,98234.56463472222,98234.56463472222,16.758883333332733,98251.32351805555,62695.27143961862,0.0,90.74860335833017,62786.020042976954,0.0,0.0
0,2025-02-07,94474.5442013203,94474.5442013203,0.0,94474.5442013203,60119.248691742076,0.0,0.0,60119.248691742076,0.0,0.0
0,2025-02-08,86053.73136680367,86053.73136680367,0.0,86053.73136680367,53787.067046554046,0.0,0.0,53787.067046554046,0.0,0.0
0,2025-02-09,93438.11954583332,93438.11954583332,12.103629166666536,93450.22317499999,59142.627602440276,0.0,58.45012367916603,59201.077726119445,0.0,0.0
0,2025-02-10,88797.01672916667,88797.01672916667,34.428624999999556,88831.44535416667,55779.44379949264,0.0,177.019609624998,55956.46340911764,0.0,0.0
0,2025-02-11,89709.45243739712,89709.45243739712,39.791155555555456,89749.24359295268,56788.813061771376,0.0,98.54476529444423,56887.35782706582,0.0,0.0
0,2025-02-12,89798.25652916667,89798.25652916667,21.020950000000198,89819.27747916667,56577.33935887,0.0,117.77835872500103,56695.117717595,0.0,0.0
0,2025-02-13,84413.83668112141,84413.83668112141,35.78411666666659,84449.62079778807,52476.753799738784,0.0,178.68402237499964,52655.43782211378,0.0,0.0
0,2025-02-14,86991.25089624485,86991.25089624485,0.0,86991.25089624485,54265.70464703727,0.0,0.0,54265.70464703727,0.0,0.0
0,2025-02-15,88422.08587558298,88422.08587558298,0.0,88422.08587558298,55138.20110624938,0.0,0.0,55138.20110624938,0.0,0.0
0,2025-02-16,89879.89245833334,89879.89245833334,95.29220555555526,89975.1846638889,56428.057626723064,0.0,491.80302172360916,56919.86064844667,0.0,0.0
0,2025-02-17,88991.23042054183,88991.23042054183,101.18791666666607,89092.4183372085,55375.26212020045,0.0,537.9470697999967,55913.209190000445,0.0,0.0
0,2025-02-18,80245.56908545953,80245.56908545953,1343.6554791666656,81589.2245646262,49840.35739805133,0.0,4410.680095110414,54251.03749316175,0.0,0.0
0,2025-02-19,80409.07311854167,80409.07311854167,743.6975291666661,81152.77064770833,50033.709591020786,0.0,2646.008052428471,52679.71764344926,0.0,0.0
0,2025-02-20,82982.23160555554,82982.23160555554,280.53447361111,83262.76607916666,51200.40037852764,0.0,1365.6728396381895,52566.07321816583,0.0,0.0
0,2025-02-21,81458.35216886146,81458.35216886146,0.0,81458.35216886146,50441.974697659054,0.0,0.0,50441.974697659054,0.0,0.0
0,2025-02-22,82861.7819963306,82861.7819963306,0.0,82861.7819963306,51355.34566039165,0.0,0.0,51355.34566039165,0.0,0.0
0,2025-02-23,81499.8173694357,81499.8173694357,642.1449694444453,82141.96233888014,50309.29988660493,0.0,2934.7679738381985,53244.06786044313,0.0,0.0
