date,soc_00,soc_06,soc_12,soc_18,soc_24,selected_policy
2025-02-01,6000.0,10800.0,6817.915744444444,10799.369976435188,6000.0,0+6+12
2025-02-02,6000.0,10800.0,6450.0,10778.529949614196,6000.0,0+6+12
2025-02-03,6000.0,10800.0,6754.913354938272,10800.0,6000.0,0+6+12
2025-02-04,6000.0,10800.0,6312.029356250001,10800.0,6000.0,0+6+12
2025-02-05,6000.0,10800.0,5883.440297500001,10800.0,6000.0,0+6+12
2025-02-06,6000.0,10800.0,6450.0,10800.0,6000.0,0+6+12
2025-02-07,6000.0,10800.0,6332.840945,10800.0,6000.0,0+6+12
2025-02-08,6000.0,9874.074074074075,6864.821892546295,10794.193962962963,6000.0,0+6+12
2025-02-09,6000.0,10800.0,7319.340971249999,10800.0,6000.0,0+6+12
2025-02-10,6000.0,10360.383921296296,6675.712858935185,10779.998351851853,6000.0,0+6+12
2025-02-11,6000.0,10128.746526234567,6580.452774737651,10800.0,6000.0,0+6+12
2025-02-12,6000.0,10506.185131172839,7050.0,10800.0,6000.0,0+6+12
2025-02-13,6000.0,9874.074074074075,7005.419555246917,10769.484916666666,6000.0,0+6+12
2025-02-14,6000.0,10800.0,7120.31635375,10771.37303703704,6000.0,0+6+12
2025-02-15,6000.0,9874.074074074075,6504.7512479012385,10800.0,6000.0,0+6+12
2025-02-16,6000.0,10303.361154320986,7007.936285493826,10800.0,6000.0,0+6+12
2025-02-17,6000.0,10098.23457716049,7050.0,10800.0,6000.0,0+6+12
2025-02-18,6000.0,9874.074074074075,6289.0485314660455,10800.0,6000.0,0+6+12
2025-02-19,6000.0,9874.074074074075,7057.982078750001,10767.980555555554,6000.0,0+6+12
2025-02-20,6000.0,9874.074074074075,7023.980751249999,10784.445057098763,6000.0,0+6+12
2025-02-21,6000.0,10171.304114197532,7232.1538825,10771.619962962961,6000.0,0+6+12
2025-02-22,6000.0,9874.074074074075,7109.434611604938,10800.0,6000.0,0+6+12
2025-02-23,6000.0,9874.074074074075,6515.116385154321,10796.02211898148,6000.0,0+6+12
2025-02-24,6000.0,9874.074074074075,5843.928790586417,10800.0,6000.0,0+6+12
2025-02-25,6000.0,9874.074074074075,7158.630930000001,10797.395415123457,6000.0,0+6+12
2025-02-26,6000.0,9874.074074074075,6590.06556875,10767.718944444445,6000.0,0+6+12
2025-02-27,6000.0,9874.074074074075,6562.1123175,10768.465370370372,6000.0,0+6+12
2025-02-28,6000.0,9874.074074074075,6241.2062054320995,10800.0,6000.0,0+6+12
2025-03-01,6000.0,9878.199322530862,6450.0,10800.0,6000.0,0+6+12
2025-03-02,6000.0,9874.074074074075,6136.867259984574,10798.217825617285,6000.0,0+6+12
2025-03-03,6000.0,9874.074074074075,6762.017622145062,10742.297592592595,6000.0,0+6+12
2025-03-04,6000.0,9874.074074074075,6450.0,10799.336697530864,6000.0,0+6+12
2025-03-05,6000.0,9874.074074074075,6924.142892453703,10797.784116635801,6000.0,0+6+12
2025-03-06,6000.0,9874.074074074075,6409.68508,10799.770561728395,6000.0,0+6+12
2025-03-07,6000.0,9874.074074074075,6498.37315125,10800.0,6000.0,0+6+12
2025-03-08,6000.0,9874.074074074075,6415.704980000001,10794.13952657407,6000.0,0+6+12
2025-03-09,6000.0,9874.074074074075,6452.2207312499995,10756.957055555557,6000.0,0+6+12
2025-03-10,6000.0,9874.074074074075,6328.360408749999,10773.701622114198,6000.0,0+6+12
2025-03-11,6000.0,9874.074074074075,6868.233131141975,10800.0,6000.0,0+6+12
2025-03-12,6000.0,9874.074074074075,6625.045155,10770.097962962962,6000.0,0+6+12
2025-03-13,6000.0,9874.074074074075,7223.000305000001,10800.0,6000.0,0+6+12
2025-03-14,6000.0,9874.074074074075,7211.741337499999,10761.493351851852,6000.0,0+6+12
2025-03-15,6000.0,9874.074074074075,7050.0,10757.561462962962,6000.0,0+6+12
2025-03-16,6000.0,9874.074074074075,6752.134397407406,10787.826154212962,6000.0,0+6+12
2025-03-17,6000.0,9874.074074074075,6481.066521250004,10753.769444444442,6000.0,0+6+12
2025-03-18,6000.0,9874.074074074075,7008.4208325,10800.0,6000.0,0+6+12
2025-03-19,6000.0,9874.074074074075,7022.410631249999,10800.0,6000.0,0+6+12
2025-03-20,6000.0,9874.074074074075,6163.6464025000005,10775.266425925927,6000.0,0+6+12
2025-03-21,6000.0,9874.074074074075,6768.0055825,10780.52401851852,6000.0,0+6+12
2025-03-22,6000.0,9874.074074074075,6569.38790625,10800.0,6000.0,0+6+12
2025-03-23,6000.0,9874.074074074075,6303.59484125,10800.0,6000.0,0+6+12
2025-03-24,6000.0,9875.594972222221,6751.38112625,10766.83312962963,6000.0,0+6+12
2025-03-25,6000.0,9878.377785493827,6191.359056249999,10768.327129629626,6000.0,0+6+12
2025-03-26,6000.0,9881.774663580247,6884.121242499999,10800.0,6000.0,0+6+12
2025-03-27,6000.0,9885.73248765432,6990.342988750001,10799.99012345679,6000.0,0+6+12
2025-03-28,6000.0,9895.36599691358,6337.5751224999985,10799.31472,6000.0,0+6+12
